Q (L/min)              Time (s)                   N_bound (mol/m^2)
0                        0                        4.994815417970914E-15
0                        10                       1.803766606593591E-13
0                        20                       2.3432391398075154E-13
0                        30                       2.6921073163251463E-13
0                        40                       2.901010782758069E-13
0                        50                       3.044505581673929E-13
0                        60                       3.195549084122382E-13
0                        70                       3.379711805904386E-13
0                        80                       3.5702074579749977E-13
0                        90                       3.7235383630452587E-13
0                        100                      3.8211192865314763E-13
0                        110                      3.88244481300575E-13
0                        120                      3.9442296083609035E-13
0                        130                      4.028855143064851E-13
0                        140                      4.130107400767431E-13
0                        150                      4.224638166637861E-13
0                        160                      4.2946445234695905E-13
0                        170                      4.341113670654874E-13
0                        180                      4.379362556953743E-13
0                        190                      4.4247050586381684E-13
0                        200                      4.47824009838266E-13
0                        210                      4.5306612195760107E-13
0                        220                      4.579644280975944E-13
0                        230                      4.622746450811971E-13
0                        240                      4.659564877976259E-13
0                        250                      4.691916802891768E-13
0                        260                      4.722889057206038E-13
0                        270                      4.755263794313306E-13
0                        280                      4.789290525198366E-13
0                        290                      4.819311844764399E-13
0                        300                      4.848339206267115E-13
0                        310                      4.875360002145887E-13
0                        320                      4.899784267525309E-13
0                        330                      4.92242550264514E-13
0                        340                      4.944357962438927E-13
0                        350                      4.965482776229183E-13
0                        360                      4.984670684660193E-13
0                        370                      5.002396201985242E-13
0                        380                      5.020415977501837E-13
0                        390                      5.038015527063832E-13
0                        400                      5.054813015885543E-13
0                        410                      5.070032901556656E-13
0                        420                      5.084520278342044E-13
0                        430                      5.098489006872102E-13
0                        440                      5.111439987058058E-13
0                        450                      5.123568271360845E-13
0                        460                      5.135346603497546E-13
0                        470                      5.146219050427179E-13
0                        480                      5.15625720321336E-13
0                        490                      5.166245661014204E-13
0                        500                      5.175779283930999E-13
0                        510                      5.184428198005711E-13
0                        520                      5.19262562949815E-13
0                        530                      5.200773553271348E-13
0                        540                      5.208423697777825E-13
0                        550                      5.215335134784174E-13
0                        560                      5.222158942145096E-13
0                        570                      5.228828129506182E-13
0                        580                      5.234984776052157E-13
0                        590                      5.240574490417545E-13
0                        600                      5.246249251553644E-13
0                        610                      5.251749832971445E-13
0                        620                      5.256761077361184E-13
0                        630                      5.261386178750955E-13
0                        640                      5.266157804525613E-13
0                        650                      5.270687224697769E-13
0                        660                      5.274749389778967E-13
0                        670                      5.27868959024617E-13
0                        680                      5.282699737138028E-13
0                        690                      5.286426651356286E-13
0                        700                      5.289756894555431E-13
0                        710                      5.293181895136251E-13
0                        720                      5.296561881969304E-13
0                        730                      5.299642171394536E-13
0                        740                      5.302447470484447E-13
0                        750                      5.305438616824663E-13
0                        760                      5.308296482159836E-13
0                        770                      5.310862900457298E-13
0                        780                      5.313267919750581E-13
0                        790                      5.315878626751725E-13
0                        800                      5.318342471324975E-13
0                        810                      5.320511400292356E-13
0                        820                      5.322658187286372E-13
0                        830                      5.324954807055046E-13
0                        840                      5.327060758033125E-13
0                        850                      5.328899606021875E-13
0                        860                      5.330882523720478E-13
0                        870                      5.332901840300618E-13
0                        880                      5.334737215963378E-13
0                        890                      5.336348539043478E-13
0                        900                      5.338145330321788E-13
0                        910                      5.3399430480325E-13
0                        920                      5.341527518208936E-13
0                        930                      5.342941389572744E-13
0                        940                      5.344639168859072E-13
0                        950                      5.346233476130788E-13
0                        960                      5.347611189878378E-13
0                        970                      5.348975025909944E-13
0                        980                      5.350515111955608E-13
0                        990                      5.351950932374331E-13
0                        1000                     5.353191402485208E-13
0                        1010                     5.354462284697329E-13
0                        1020                     5.35588813612004E-13
0                        1030                     5.357176876557384E-13
0                        1040                     5.358277267541405E-13
0                        1050                     5.359532684387416E-13
0                        1060                     5.360847287785934E-13
0                        1070                     5.361998700740494E-13
0                        1080                     5.363001136347105E-13
0                        1090                     5.364256713514617E-13
0                        1100                     5.365459798307002E-13
0                        1110                     5.366493539230834E-13
0                        1120                     5.367490191844056E-13
0                        1130                     5.368686757454768E-13
0                        1140                     5.369786941479208E-13
0                        1150                     5.370727471863688E-13
0                        1160                     5.371690900470433E-13
0                        1170                     5.372840157251609E-13
0                        1180                     5.373875894608564E-13
0                        1190                     5.374738671818197E-13
0                        1200                     5.375731566054872E-13
0                        1210                     5.376833646475053E-13
0                        1220                     5.377810604630246E-13
0                        1230                     5.378623282331102E-13
0                        1240                     5.379647050961738E-13
0                        1250                     5.380664183972505E-13
0                        1260                     5.381542197453838E-13
0                        1270                     5.382330747845323E-13
0                        1280                     5.383329058741053E-13
0                        1290                     5.384309001369144E-13
0                        1300                     5.385155972500323E-13
0                        1310                     5.38593838259048E-13
0                        1320                     5.38693586428965E-13
0                        1330                     5.387856039743632E-13
0                        1340                     5.388637534593446E-13
0                        1350                     5.389414119708948E-13
0                        1360                     5.390373457169983E-13
0                        1370                     5.391251053537437E-13
0                        1380                     5.391990021141032E-13
0                        1390                     5.392811466259368E-13
0                        1400                     5.393751463403688E-13
0                        1410                     5.394576975190244E-13
0                        1420                     5.395271090891243E-13
0                        1430                     5.396136973661347E-13
0                        1440                     5.397026804165131E-13
0                        1450                     5.397792446692417E-13
0                        1460                     5.39847238193831E-13
0                        1470                     5.399375484875062E-13
0                        1480                     5.400217556751014E-13
0                        1490                     5.400935470524234E-13
0                        1500                     5.40166772494309E-13
