spatialFrequency, correlation, smoothCorrelation
0,0.999999,1.00956
2.30033e-05,0.999993,1.00911
4.60066e-05,0.999956,1.00866
6.90099e-05,0.999926,1.00819
9.20133e-05,0.999839,1.00771
0.000115017,0.999736,1.00723
0.00013802,0.999637,1.00674
0.000161023,0.999588,1.00624
0.000184027,0.999495,1.00573
0.00020703,0.999405,1.00521
0.000230033,0.999145,1.00469
0.000253036,0.999126,1.00416
0.00027604,0.999342,1.00362
0.000299043,0.999191,1.00307
0.000322046,0.999146,1.00252
0.00034505,0.999052,1.00197
0.000368053,0.998589,1.0014
0.000391056,0.998396,1.00083
0.00041406,0.998542,1.00026
0.000437063,0.998564,0.999682
0.000460066,0.998347,0.9991
0.00048307,0.998311,0.998513
0.000506073,0.998392,0.99792
0.000529076,0.99795,0.997326
0.00055208,0.99801,0.996727
0.000575083,0.997897,0.996123
0.000598086,0.997558,0.995518
0.000621089,0.997586,0.994909
0.000644093,0.996938,0.994298
0.000667096,0.996259,0.993682
0.000690099,0.995084,0.993065
0.000713103,0.995769,0.992446
0.000736106,0.994745,0.991825
0.000759109,0.994007,0.991201
0.000782113,0.99345,0.990574
0.000805116,0.994065,0.989947
0.000828119,0.993683,0.989319
0.000851123,0.9931,0.988687
0.000874126,0.992998,0.988056
0.000897129,0.994192,0.987423
0.000920133,0.992792,0.986787
0.000943136,0.991687,0.98615
0.000966139,0.991274,0.985513
0.000989142,0.990825,0.984874
0.00101215,0.990085,0.984233
0.00103515,0.990829,0.983591
0.00105815,0.991133,0.982948
0.00108116,0.989789,0.982305
0.00110416,0.987205,0.981658
0.00112716,0.987437,0.981012
0.00115017,0.987949,0.980365
0.00117317,0.987801,0.979715
0.00119617,0.98807,0.979064
0.00121918,0.985815,0.978412
0.00124218,0.984617,0.97776
0.00126518,0.984615,0.977105
0.00128819,0.981681,0.97645
0.00131119,0.981389,0.975793
0.00133419,0.98231,0.975134
0.0013572,0.984755,0.974474
0.0013802,0.981241,0.973816
0.0014032,0.981608,0.973153
0.00142621,0.97844,0.972489
0.00144921,0.974084,0.971825
0.00147221,0.974096,0.971157
0.00149522,0.976276,0.970491
0.00151822,0.974107,0.969823
0.00154122,0.974759,0.96915
0.00156423,0.972952,0.968479
0.00158723,0.970242,0.967804
0.00161023,0.968411,0.967129
0.00163324,0.961075,0.966453
0.00165624,0.965599,0.965774
0.00167924,0.965855,0.965095
0.00170225,0.972467,0.964413
0.00172525,0.974384,0.96373
0.00174825,0.970041,0.963044
0.00177126,0.965143,0.962357
0.00179426,0.959233,0.961669
0.00181726,0.964666,0.960979
0.00184027,0.961544,0.960287
0.00186327,0.962066,0.959593
0.00188627,0.95605,0.958897
0.00190927,0.952961,0.9582
0.00193228,0.959719,0.957501
0.00195528,0.956149,0.9568
0.00197828,0.957175,0.956097
0.00200129,0.952208,0.955394
0.00202429,0.944334,0.954687
0.00204729,0.945871,0.953979
0.0020703,0.938208,0.953269
0.0020933,0.943978,0.952556
0.0021163,0.947606,0.951843
0.00213931,0.949573,0.951128
0.00216231,0.954301,0.950411
0.00218531,0.951716,0.949691
0.00220832,0.949543,0.94897
0.00223132,0.954295,0.948248
0.00225432,0.958733,0.947522
0.00227733,0.953844,0.946796
0.00230033,0.941033,0.946069
0.00232333,0.940244,0.945338
0.00234634,0.941464,0.944606
0.00236934,0.943719,0.943872
0.00239234,0.939935,0.943137
0.00241535,0.942892,0.942401
0.00243835,0.938142,0.941662
0.00246135,0.934494,0.940921
0.00248436,0.936422,0.940178
0.00250736,0.934498,0.939434
0.00253036,0.932116,0.938687
0.00255337,0.937362,0.93794
0.00257637,0.932126,0.93719
0.00259937,0.939251,0.936439
0.00262238,0.939499,0.935685
0.00264538,0.934386,0.93493
0.00266838,0.937437,0.934173
0.00269139,0.936205,0.933413
0.00271439,0.932704,0.932652
0.00273739,0.931878,0.931889
0.0027604,0.928453,0.931124
0.0027834,0.931414,0.930357
0.0028064,0.935974,0.929588
0.00282941,0.938487,0.928817
0.00285241,0.934766,0.928044
0.00287541,0.93396,0.927269
0.00289842,0.937118,0.926492
0.00292142,0.929446,0.925713
0.00294442,0.923644,0.924932
0.00296743,0.924797,0.924148
0.00299043,0.925938,0.923364
0.00301343,0.924467,0.922576
0.00303644,0.92514,0.921787
0.00305944,0.923521,0.920996
0.00308244,0.926909,0.920204
0.00310545,0.925592,0.919409
0.00312845,0.924524,0.918612
0.00315145,0.921843,0.917814
0.00317446,0.922178,0.917014
0.00319746,0.92297,0.916213
0.00322046,0.922911,0.91541
0.00324347,0.922637,0.914605
0.00326647,0.917219,0.913799
0.00328947,0.916038,0.912992
0.00331248,0.915488,0.912183
0.00333548,0.917232,0.911373
0.00335848,0.917856,0.910561
0.00338149,0.913994,0.909748
0.00340449,0.917885,0.908934
0.00342749,0.915488,0.908118
0.0034505,0.91923,0.9073
0.0034735,0.911854,0.906482
0.0034965,0.912199,0.905662
0.00351951,0.915729,0.904841
0.00354251,0.91268,0.904019
0.00356551,0.902895,0.903195
0.00358852,0.902327,0.90237
0.00361152,0.906806,0.901545
0.00363452,0.897633,0.900717
0.00365753,0.898751,0.899889
0.00368053,0.891734,0.899059
0.00370353,0.896315,0.898228
0.00372654,0.892112,0.897397
0.00374954,0.893055,0.896564
0.00377254,0.893481,0.89573
0.00379555,0.894619,0.894895
0.00381855,0.892453,0.894059
0.00384155,0.907544,0.893221
0.00386456,0.900548,0.892383
0.00388756,0.889166,0.891544
0.00391056,0.885239,0.890704
0.00393357,0.889312,0.889863
0.00395657,0.887949,0.88902
0.00397957,0.894485,0.888177
0.00400258,0.888806,0.887333
0.00402558,0.894065,0.886488
0.00404858,0.893885,0.885642
0.00407159,0.884999,0.884795
0.00409459,0.888467,0.883947
0.00411759,0.894879,0.883098
0.0041406,0.892349,0.882248
0.0041636,0.88522,0.881398
0.0041866,0.880117,0.880545
0.00420961,0.878631,0.879692
0.00423261,0.88328,0.878838
0.00425561,0.878547,0.877982
0.00427862,0.871773,0.877126
0.00430162,0.869595,0.876269
0.00432462,0.881307,0.87541
0.00434763,0.879576,0.874551
0.00437063,0.876133,0.87369
0.00439363,0.876822,0.872827
0.00441664,0.867651,0.871964
0.00443964,0.869486,0.871099
0.00446264,0.85976,0.870233
0.00448565,0.865254,0.869366
0.00450865,0.862356,0.868498
0.00453165,0.8672,0.867628
0.00455466,0.871059,0.866757
0.00457766,0.872241,0.865884
0.00460066,0.867017,0.865011
0.00462367,0.867567,0.864135
0.00464667,0.865916,0.863258
0.00466967,0.865518,0.862381
0.00469268,0.871802,0.8615
0.00471568,0.865892,0.860619
0.00473868,0.864999,0.859736
0.00476169,0.862377,0.858852
0.00478469,0.85637,0.857966
0.00480769,0.85959,0.857078
0.0048307,0.845026,0.85619
0.0048537,0.846804,0.855299
0.0048767,0.848082,0.854407
0.00489971,0.855894,0.853512
0.00492271,0.867226,0.852617
0.00494571,0.860254,0.851721
0.00496872,0.85282,0.850821
0.00499172,0.84975,0.84992
0.00501472,0.851847,0.849018
0.00503773,0.856124,0.848114
0.00506073,0.845352,0.847208
0.00508373,0.850637,0.846301
0.00510674,0.842653,0.845392
0.00512974,0.841244,0.844481
0.00515274,0.841036,0.843568
0.00517575,0.841928,0.842654
0.00519875,0.843786,0.841739
0.00522175,0.848507,0.840822
0.00524476,0.847512,0.839903
0.00526776,0.843755,0.838982
0.00529076,0.842511,0.83806
0.00531377,0.849034,0.837137
0.00533677,0.8407,0.836212
0.00535977,0.838589,0.835285
0.00538278,0.83629,0.834358
0.00540578,0.840367,0.833428
0.00542878,0.83423,0.832497
0.00545178,0.819709,0.831565
0.00547479,0.820091,0.830632
0.00549779,0.824365,0.829697
0.0055208,0.821931,0.828761
0.0055438,0.828642,0.827824
0.0055668,0.828425,0.826885
0.00558981,0.827565,0.825945
0.00561281,0.82412,0.825004
0.00563581,0.817737,0.824062
0.00565881,0.817492,0.823119
0.00568182,0.821981,0.822175
0.00570482,0.815817,0.821229
0.00572782,0.810132,0.820283
0.00575083,0.831984,0.819335
0.00577383,0.828643,0.818385
0.00579683,0.821972,0.817436
0.00581984,0.813941,0.816484
0.00584284,0.809121,0.815532
0.00586584,0.812627,0.814578
0.00588885,0.813528,0.813623
0.00591185,0.822515,0.812667
0.00593485,0.819287,0.81171
0.00595786,0.802218,0.810751
0.00598086,0.795972,0.809791
0.00600386,0.828109,0.80883
0.00602687,0.808757,0.807868
0.00604987,0.812271,0.806903
0.00607287,0.816809,0.805937
0.00609588,0.822723,0.80497
