"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,12760.797180239375,21538.761660255986,158.60654826306637,764.113972834134,144.31974964012812,15.21125315479897,2820.7884223957753,17.83011864228539
2.0,12811.64710422785,21484.81090589524,122.26443776434138,581.5908400343508,149.01614542369242,15.222721596296664,2955.7080256787654,14.395194792448406
2.0,21041.66798959691,12390.937810966541,140.64055139644438,958.397827789729,166.83990569031153,21.87486654737559,4863.935140791243,15.687483395272498
2.0,22253.83930230029,12218.243859111617,270.1419512353705,1547.9343688640809,142.48063469263013,19.246943947712776,4537.233799836621,30.235337288283137
2.0,24868.010854459735,10511.35898420511,192.82943824038088,912.3690878667746,151.67516571376902,15.721285193473365,2914.1972873379586,22.179384250126763
3.0,12746.762606600774,21495.216130357276,136.6033387446707,688.9346391619088,139.35673210162275,15.469936281091702,3275.7735204043342,15.22421565931459
3.0,22894.377672650935,12728.94507162929,255.1945198093373,1666.3837044695904,148.1525270371142,22.42401077501431,5120.809379310378,29.033153641914215
4.0,12820.791554558307,21486.85798794713,119.48843396013037,530.6392239256139,145.72609855513883,12.53416047098734,2127.3778838542394,13.070995440851979
5.0,7636.968505322395,39353.17729708063,130.2974487872995,1364.551603878109,139.1405108585215,22.497532506474506,5938.266793773388,10.213567963199193
5.0,12774.478283539547,21505.955113690237,118.7673262962735,623.8341049828133,146.9088444139396,14.190159431407025,2605.3225852511678,12.285983372270186
6.0,12757.546242455503,21517.621508234457,119.37104371806188,612.3560976428357,143.40582391966532,16.98449933830774,3607.9608755281124,14.32719531327685
7.0,12799.407795945326,21513.023291234796,113.50213494225956,530.0391502376469,144.42055076579427,17.522582236402368,4154.889016329183,15.261207048094535
8.0,12800.47776937442,21503.534782408653,125.00904999990532,659.4347080344916,145.63865819624155,14.897188441191417,3011.168743758759,13.209549010589932
9.0,12786.911257304868,21477.39328546998,132.03707647617935,551.6141288669506,146.91238456198204,16.801106225407537,3782.423189217344,18.636966055775932
10.0,12758.354072121141,21496.936628403753,103.9732770825202,597.1740466590367,147.6694315657736,14.659760227769786,2918.239810223721,10.476026115595603
11.0,12762.787065999615,21508.585544252885,114.20871563591241,586.5262055991855,142.98472379200203,15.666737236875441,3408.3051240961818,12.990249679723508
12.0,12772.990724893056,21515.745936964864,109.37652053963117,542.1287981302797,144.09616663256807,16.00563190135067,3475.8954311658404,13.116315955399534
13.0,12795.966662279363,21496.173111690874,115.66670718158984,495.5915095195575,144.15796214830192,14.55725600299609,2974.63318148609,14.552359592430435
14.0,12807.769709101942,21518.419225664475,119.90729283203976,540.37595257422,141.00200555962581,14.877424207153622,2970.4869066817328,14.590590406951392
15.0,12803.943952902344,21491.436567100798,141.8157379444696,751.7944853169407,141.45389987694557,13.907302013563644,2541.209734517766,13.925136168067205
16.0,12761.390875577408,21495.13147091986,111.73795651360413,424.7946265076057,146.5815597323021,15.940830994546607,3213.290264251686,16.79200745092846
17.0,12773.083753243942,21479.586131911798,104.49606288754802,607.5784784995053,146.9499028139409,21.5040882880889,5558.91313708211,13.707536477977367
18.0,12765.512029849791,21510.798151066094,122.91181841130336,546.1722085652938,148.80228088108575,14.310732013015613,2542.6955737971302,14.661115717640678
19.0,12790.89631589078,21510.30921295853,96.2870314955345,396.4631093796012,149.20164682822605,15.483796086634296,3125.0485408170503,13.506290782390822
20.0,12781.373122467307,21495.313800815642,115.93887059965755,467.5638754547364,145.51499924744923,16.734302221588496,3921.1096908979866,17.090690793420833
21.0,12792.997459233588,21509.052270772954,117.17593376429569,604.7283437087212,144.496502533389,15.169595195213246,2989.988180852032,12.916033046217535
