"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,10868.517338315987,24371.329543358377,144.20118191782686,853.2188847460277,162.23365834947123,21.08475016551774,4977.009831299934,17.712035243625866
3.0,36600.33089154603,13189.024988210514,168.1014023633406,667.5345161725191,119.86863045750201,15.943076228947685,3891.641212049616,23.25171580243211
4.0,34890.83218272849,26436.33985562111,165.0706739017377,700.9681469315426,123.74073598025578,16.46789601050314,3749.4657073889302,22.093783436907714
5.0,13136.5615232482,38749.20493435133,193.04104436056352,1193.9933635942748,124.13846036024547,15.100327460603815,3296.5015978937977,16.881710175141478
8.0,17091.978947978783,31776.62135190456,125.81298992926716,1133.1653003290226,139.68197015560222,14.048033486458943,2477.4769519838947,8.250967137496048
10.0,7272.0222781996035,28557.55885425028,190.0502561278744,873.3934789970418,129.58026843842745,18.96801046204942,5041.923914808515,26.39750889697584
11.0,6259.152790952214,21943.394682053044,432.053589406703,6279.153893623679,113.81925992130542,36.60868477246438,11266.523246142304,35.175216025503566
11.0,6303.374192299035,21406.442947484542,136.2973206587954,3157.266482579025,179.79282358220027,37.04673052449139,12011.263811188928,7.724695303725003
11.0,7128.46697736728,23521.31795742907,264.26664252911553,1494.691950501727,141.4853973626808,23.41858611583495,6076.996355287013,35.84817454274211
14.0,20588.49364252368,29809.22153967239,207.9500825090903,1081.376590074754,141.53453049445935,18.434492597022572,4407.1388445482635,24.943354924817285
15.0,19483.340792743507,31827.225226479935,151.99890475011298,624.6804391498837,138.03801266598282,16.402655073327868,3699.9556985972526,21.052465334728883
15.0,23125.494834141824,30972.068804299677,295.64681485002603,2093.715187994402,122.15582637925561,21.397483102394798,5497.171566289764,29.627432271463327
15.0,23969.950597008235,30425.524109155107,223.02635859396332,1456.872325589028,126.16041695146345,24.46206405488649,6975.800507289528,27.62567459638686
15.0,30219.690993948752,34669.77907285788,136.0731520797321,602.0175126425981,119.2962614752881,13.212584322612251,2701.1682776040575,15.138754897605013
16.0,23739.472476315666,27734.12819045113,134.4116648171963,790.9132739472824,153.66650552412912,18.635765310174904,4140.130018934957,15.116122215830666
16.0,30203.481340005812,34635.72306992593,137.94582111194921,581.7052124385187,118.00454479823709,11.603478741177904,2241.433329371256,14.569904768544937
17.0,30206.181530859514,34655.68236198588,113.04997885847803,476.6072724911532,121.49756333899933,12.795279304753219,2543.7198401239957,13.231890331184225
18.0,15936.02484434761,38087.412397658445,171.34015013404647,780.8628146787119,144.51884285536642,20.08670529871024,5234.140494172332,25.393843713436564
18.0,17166.889789167035,37938.58734793461,146.99657889843039,662.0560867459106,133.56390794654655,16.29084874226582,3658.967177352822,18.694927003062794
18.0,27130.92368678048,24300.496223162176,248.05541934443835,1972.866935569914,129.95790759655767,15.181566027779715,2491.9308386248385,16.92126379342345
18.0,30232.72320977293,34674.71390930373,147.83263188281188,718.0634237004182,119.72023506234835,13.785861050843158,2964.9011032060935,15.453706630599862
19.0,16116.98997620543,38556.13582892412,318.6799158379834,3109.3848123939483,111.82731421247185,21.837281858033602,5299.246847814968,23.9107348293376
19.0,17089.150788858384,39381.84760517154,158.58111996611314,549.162414750449,136.4018858365329,17.855722316685664,3942.8894764198085,27.56974680751081
19.0,30237.833111001808,34641.85233412443,112.44159612242532,873.9840001421182,121.3350933429426,16.121069179653208,3937.5071764439267,9.241748079623715
21.0,37422.23799411084,30094.077339136806,146.49467156856102,563.3035499629079,125.5776123002569,16.832375888464917,4160.685895392776,22.10796416815051
21.0,39744.33852410017,36060.6388739385,91.8587102144461,552.212911112175,133.23232345701365,27.86332821114999,8969.801071268173,14.648763206113676
22.0,40165.373551385834,25898.310153194827,124.51340710935168,493.75118223981633,118.23507827156837,14.501957346850839,3370.1698290151294,16.52872608668608
25.0,20054.103396451548,34770.81994115273,185.8361893587999,958.7816840758193,125.6002009661775,20.41851300607648,5780.095417086519,24.73824582807091
25.0,38136.29780333856,15035.245005347744,117.67230839417107,1223.5380337133904,128.6646671282157,18.491637555154078,4623.787931634813,8.239711053186246
26.0,9827.98909979149,22786.15107325908,108.0394754485761,663.1643392682133,139.40777069941973,17.30806421122497,4307.777142722153,11.429911719376369
26.0,38135.483519298,15044.7900521517,117.53475761769495,1598.2832728886292,132.83588213303776,18.456086862941817,4620.183770502783,6.625895926094941
28.0,29936.648323121775,35542.87165186416,130.46545593723894,515.774421621505,127.82698505406914,19.225522567546125,5073.580113647944,21.685839541654683
