"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,568.3438909498617,15560.16331685188,167.19591984300908,2749.3542648462394,134.2546274360592,32.31440144710896,10205.944054800888,11.332307606370485
1.0,712.3497179121509,4396.472442174635,147.84133124203555,1578.5146742970533,147.20738170250058,27.53369332520026,7444.825219168728,13.172907094896333
1.0,2170.3594375883986,12136.606536127492,118.62653972225152,803.2702466944183,127.37720186947938,14.790411384687577,3092.3406149738908,10.217818693429953
1.0,2235.9167890561143,18827.547591002396,137.75079513935142,1428.2570317940745,118.63537732927176,14.146233485262833,2710.4873395987897,7.947399192520061
1.0,2623.3921026527605,5307.123791657004,132.07915602826228,1025.5372127292185,155.9139020903651,40.69582201150739,14394.930934304237,22.638106203964607
1.0,2569.340495366669,11200.337202226978,123.34791697296893,1307.8239087152563,146.58738786400227,67.69607654664397,26807.582716435714,25.32735682350353
1.0,2730.730561349754,5622.612588634328,334.18853642580586,3417.5627445868777,121.0075393218816,41.249357272583175,13189.930573740463,43.270902905196884
1.0,2904.8483223561398,7295.896402444818,162.11110514503167,1533.6474360982845,131.96950857515725,21.21366984801398,4692.089995692836,12.923203919517368
1.0,3080.0934319305425,11182.697959444502,131.58208477965215,1601.6694153685614,136.82781800092908,52.75232749092164,19693.09784864511,18.60668235337511
1.0,3080.6615264871402,22098.304768924234,126.51507697693671,723.3479557846894,126.43120383031037,19.07361543797299,5522.1087884341805,14.975140688254582
1.0,3238.927858743791,21064.744923807502,126.2001853820162,673.02597151815,123.70559867482969,17.956691746467577,4681.674843756651,15.164513048822304
1.0,3968.3417266504716,4561.93939775132,136.45351073255344,918.1987286588563,130.98169111114916,16.869879307183286,3726.9404929284765,12.617161038930677
1.0,4152.314540584089,18206.212738341135,136.2382991754866,2333.5875332465,139.7481621340864,25.110893208028276,7010.154615521409,7.514470495925816
1.0,5903.306875352335,18106.811168296757,124.66235212121956,925.0393828732017,122.67507309243567,16.22840788211375,4236.024013396457,10.477266050735775
1.0,6397.483427298497,4783.533323045539,167.3963103611484,940.7307921127001,115.14266622734593,16.105734986436964,3879.044285727004,17.04744184784727
1.0,6380.3773092362835,19367.60279872243,143.07895759951745,848.9714699850084,120.47321846961977,16.765344247928823,4339.816534683009,14.600810436752596
1.0,6830.425805590103,9550.888758123514,118.20082140931042,931.2584576297936,120.34316815209706,19.55605471243895,5383.918254950453,10.85556480638008
1.0,7123.881475559541,3423.467979705399,119.98572551300167,615.3784823404161,122.29970023771766,15.859176272451542,4059.547292869913,13.677042988331607
1.0,7233.940780417187,10832.800293119932,106.33913698850539,763.9410852155993,135.66918422818497,15.482346020064345,3277.9856264547893,9.196430899732604
1.0,7310.614191918229,22537.167696785928,156.8877215602024,992.2770342795129,127.87903490495283,19.64056801388511,5337.879741389029,16.961623083145433
1.0,7764.273043199172,12903.09364936917,162.26739073548723,4315.14248467116,150.61392332909242,43.9849577040597,13049.768627408896,9.18175168676928
1.0,7945.887539877268,10652.082383227402,106.21178280576633,1021.1418792792067,140.26360060750372,20.837721653199377,5284.648531428946,8.765853550785842
1.0,8059.91343230301,2440.6880822424414,129.15435621891797,655.6647922548437,134.12584234514236,15.705406903996712,3586.761865289477,14.5880038989005
1.0,8344.362045302729,3562.5420377120763,152.43880842220102,935.1290455530038,125.10367943720365,16.860783350077636,4124.74888120007,15.048923581818633
1.0,8403.893112792552,11800.495129266154,109.18041321073575,998.7761579309649,138.86319181020193,25.53005071342058,7992.490002723668,10.875528313443795
1.0,8372.733015706863,16399.086261454977,128.63199374550192,1391.7212703899424,123.62452303761387,17.104881716768336,4244.79698338134,8.148902534575681
1.0,8468.564242016679,10096.629273047003,114.72553678178267,630.6912307570094,133.17498200492415,33.49797341194488,9037.083145484554,23.041578109681335
1.0,8452.597154702948,18314.334109108386,172.45308967542414,873.1191319427296,119.18194462749177,16.516462498190684,3940.0587935457193,19.625966511583403
1.0,9452.7253959858,11244.542455091441,143.69959887527753,748.9083451050211,121.57565710375003,12.980354136431522,2620.978801883514,13.612655378519568
1.0,9731.881485247048,14674.478163958887,120.61046513100062,1408.9710192627979,130.0921866944429,18.169120363677422,4541.727248492247,7.558211455855034
1.0,9982.463304540117,18207.09436162532,147.14741772003688,929.5209296211452,120.07604056804372,13.620094909413687,2786.841577315378,12.203416581233512
1.0,10755.176185288008,16775.701256454537,118.62083796191149,875.7034043112615,126.88350450491163,14.073611387493239,3080.359140872818,9.240118657888205
1.0,11142.989920856717,5146.2286999161215,144.7604344876019,1438.3780047406246,130.74022213232197,26.93240354333265,8962.538502096768,13.55205107923155
1.0,11150.71671448787,7305.819432896328,121.85807395043247,730.3548318699877,128.03388072365414,14.771405979748229,3334.024583141002,11.541936771120131
1.0,12202.432142522595,6945.172380642253,124.65844513415863,1287.5483299185162,142.34933711279345,29.026330300721515,8742.595854325058,12.156607045294013
1.0,12397.79444353959,2047.542145104232,166.1576049490767,2567.1878134400968,130.53752280083157,27.674175768101218,7901.799811569605,10.50645580078116
1.0,12534.873516782865,10502.755152740263,120.59966036828652,963.8813521344777,119.28993408715114,17.08144383912015,4367.6497576143465,9.920082835654146
1.0,12605.207447427392,20926.96055020401,141.00462370289824,2479.184645874134,123.70781840806356,18.1445195103611,4263.487391183361,6.15947811781768
1.0,12760.131074366627,6755.5047474879675,122.67642416771457,1000.5701766759768,136.11407112835903,39.216802567537506,13193.405028843787,19.444239205329733
1.0,13125.329320999526,16865.5504383344,118.72075954389081,942.4818912084444,129.9010944654337,15.512605208197646,3759.8122594835627,9.254599125056695
1.0,13314.212848650142,21928.6801703104,126.03508133994649,860.4431450439339,129.11370615176838,15.35531005495579,3408.4625084986533,10.920595466857694
1.0,13709.747514278399,1485.3503532180289,124.61228785624932,1023.7247737925808,136.4968226614089,19.271767631686625,5345.373442256859,10.832594557517233
1.0,13905.279243221068,16408.153743689923,114.1277158713161,1139.5881257101582,129.0092932683001,15.01878762930442,3334.0768078554165,7.34863453444276
1.0,14739.058462420471,13278.026546685485,123.80361681450738,1068.7350352363735,130.76372417200943,19.25947776750288,5654.912086157014,10.319861847855906
1.0,14979.123443042967,535.5844776479713,152.51052591081591,982.3121502382459,131.3178333110457,16.891596842494973,3429.5666690977014,14.440714936806126
1.0,15257.424623756197,2828.3848402618264,141.98346511060714,828.1195152204273,130.36186745671625,15.062290091281696,3291.1972884279694,13.597362149844548
1.0,15186.879538893332,15009.50497690057,113.34740233682234,668.663524210485,138.91952266100665,30.040307427339243,10176.173064754224,19.30737451331426
1.0,15370.11557930529,12176.814275686087,190.89450243120928,2341.7312862131366,133.95303161232226,31.084987590752572,9207.152353268353,16.267829622908
1.0,15499.145283700578,5406.957274190142,177.39650749771633,2055.352442201194,140.58277978290857,40.98400573813629,12288.46626213866,20.569448991250567
1.0,15477.570583995337,13186.178289624864,116.93461817311427,732.8958420772991,129.36932379427495,17.715323025373443,4377.993437136765,12.197917716353219
1.0,15665.839054412301,17314.094562585706,97.19592776662653,618.9634567172247,132.6311372038976,16.893241234788913,4004.7512657531893,10.00093827575963
1.0,15794.591013623154,1757.8110195030113,136.9056239492444,678.2689816833031,130.1065561650704,16.44335366870183,3711.7500789438427,16.236848258309116
1.0,16321.975006100314,5763.065591948262,149.75561737871777,1071.9148497061014,135.13288404646323,17.823617677930503,4137.242012934658,13.49276147393868
1.0,17092.90870904906,18802.85302955129,118.39992944954642,1311.7689253488768,131.8004415559791,26.3750917245186,7676.107582824084,10.097569161153341
1.0,17558.147794205823,10030.822013896504,123.73818289151914,839.0553600186712,116.57136179872128,13.017914522193305,2702.5538909642823,9.752276644830847
1.0,18435.543542784282,4182.493230210961,120.47853047470744,668.7440835378225,117.20880598439233,13.16691931328938,2790.6562924055565,11.30291575740069
1.0,18607.52813494588,15049.466315678343,149.7959402972534,831.2120064375966,127.58040673263953,17.88889929814594,4541.224182402231,16.981334520500788
1.0,19176.83133888901,2650.3081909258076,121.67220033137167,1261.773317323723,146.04409715358665,24.447167119760618,7099.79361706795,10.340514895775373
