"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,5475.632789069652,11984.064644368074,156.3986188458628,464.0107929322251,68.84016327691255,10.607072360357167,3013.4735653001294,20.51325076955927
1.0,6273.537256000873,9182.533146893838,140.91229047970177,555.2839695845806,75.03570858424968,10.633738434749157,2656.4746490655884,14.800447743459344
1.0,8570.668450735471,5216.585948256652,175.7222216164253,701.6304678787023,94.71082323805093,22.122553802296103,8951.2051019368,32.145883095023805
1.0,12556.001444703796,14642.618318224546,122.87447160197738,360.8595900709528,69.60154846211778,13.576277342359145,4966.615664033798,20.255236989970918
1.0,13750.380308256896,8326.372166809146,107.49736875499154,388.0512857113891,82.9030739899582,12.421906460481036,3663.6601752884017,14.178036507654687
1.0,14123.83628492507,5056.707991460006,482.4557314780932,5240.448283345114,34.422266606495015,14.704351247455405,4585.3618818659315,22.656090330673212
1.0,14222.049801868347,15258.159492093633,198.68618460582405,778.1718940135474,80.4081732371712,16.265220937103468,5779.93388636274,27.94646242731827
1.0,14496.483155615848,11520.283126527569,130.69214418768058,396.6494545676076,83.6791384376382,10.29042843499496,2334.732880508698,16.93052142632978
1.0,16458.940076556388,8278.709184564712,144.82966397686317,448.12106326905086,80.23667061977221,17.495101909522305,7303.05899865762,27.658597224070345
1.0,16885.77305524641,6547.2156788104085,144.42919029213147,661.5334885463834,83.58200696506802,11.221720690526386,2482.1029191560333,13.81029362489004
1.0,18456.29561991865,9964.95132373242,149.727571597124,448.8865214479217,68.72880876605097,14.16529501945522,4724.516373341085,24.538149694366016
1.0,19330.816198571152,16405.46068682089,135.80116081555457,570.0627040676937,61.745908371757324,12.315582064848249,4091.0265754701913,15.040059240944165
2.0,6301.556117103203,9135.807540235146,151.60845155717325,503.2638397963829,77.31331087108178,14.909944603355168,5362.417573335651,23.5908726742554
2.0,7632.437668733652,7775.205315882618,209.72700624858416,659.2940965657228,75.68412852395787,14.738518050019367,4679.468804543518,33.13342855287708
2.0,7861.516526212845,11794.909088444965,150.67218178920427,983.1493565223869,86.82493537352313,15.121335638135614,4264.458204394796,13.020365181540706
2.0,8778.338116827816,5263.077257099582,263.99108281867944,1034.4862279368515,84.18918012473269,23.676785002804607,9418.13367445431,51.63393112817562
