% Model:              refresh-2_5-D_Cd_without_photobleaching.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 16:15
% Table:              Evaluation Group 5 - 
% Q (L/min)              Time (s)                 Dependent variable N_bound (mol/m^2)
0                        0                        4.9617273966060805E-15
0                        10                       1.7863185753105132E-13
0                        20                       2.3516250078218925E-13
0                        30                       2.737351352486451E-13
0                        40                       3.05409446077114E-13
0                        50                       3.321479254014948E-13
0                        60                       3.500496884176159E-13
0                        70                       3.5966714228913445E-13
0                        80                       3.6563326892387494E-13
0                        90                       3.7323446499142304E-13
0                        100                      3.8486301097343885E-13
0                        110                      3.989138041880006E-13
0                        120                      4.116003792728333E-13
0                        130                      4.200306475890363E-13
0                        140                      4.242118772680206E-13
0                        150                      4.267211793374029E-13
0                        160                      4.3059371977350874E-13
0                        170                      4.3716271191946424E-13
0                        180                      4.453841037819762E-13
0                        190                      4.508376210453038E-13
0                        200                      4.550722216379664E-13
0                        210                      4.594091397787468E-13
0                        220                      4.637314772241494E-13
0                        230                      4.677858078021435E-13
0                        240                      4.713821991533758E-13
0                        250                      4.745273296025338E-13
0                        260                      4.775398065511235E-13
0                        270                      4.805979619255609E-13
0                        280                      4.835849096770849E-13
0                        290                      4.863913444743038E-13
0                        300                      4.888881221902514E-13
0                        310                      4.910783049325983E-13
0                        320                      4.930828420911562E-13
0                        330                      4.950447187229277E-13
0                        340                      4.970303311107632E-13
0                        350                      4.989979021603845E-13
0                        360                      5.007348987308482E-13
0                        370                      5.023729867667484E-13
0                        380                      5.039874572392697E-13
0                        390                      5.055130519279092E-13
0                        400                      5.068939642701033E-13
0                        410                      5.081274079689726E-13
0                        420                      5.093139624072566E-13
0                        430                      5.104860530006583E-13
0                        440                      5.116334544682297E-13
0                        450                      5.127091434477536E-13
0                        460                      5.136687833505732E-13
0                        470                      5.145164838083768E-13
0                        480                      5.152973334413215E-13
0                        490                      5.16065994512839E-13
0                        500                      5.168475497160905E-13
0                        510                      5.176102128915365E-13
0                        520                      5.183184929969507E-13
0                        530                      5.189483081784967E-13
0                        540                      5.195074842467748E-13
0                        550                      5.20027476350532E-13
0                        560                      5.205413276552996E-13
0                        570                      5.210525497665136E-13
0                        580                      5.215488469513819E-13
0                        590                      5.220295261186527E-13
0                        600                      5.224680915536995E-13
0                        610                      5.228523482387532E-13
0                        620                      5.232026508043606E-13
0                        630                      5.235576792327224E-13
0                        640                      5.239044605961336E-13
0                        650                      5.242212259661649E-13
0                        660                      5.245088104637285E-13
0                        670                      5.247846756397065E-13
0                        680                      5.250439468493803E-13
0                        690                      5.252967543941633E-13
0                        700                      5.25544584288249E-13
0                        710                      5.257755064377181E-13
0                        720                      5.259796956925574E-13
0                        730                      5.261591289442986E-13
0                        740                      5.263293979099021E-13
0                        750                      5.265019690125531E-13
0                        760                      5.266739149712067E-13
0                        770                      5.268402549356571E-13
0                        780                      5.269881509028926E-13
0                        790                      5.27119138525371E-13
0                        800                      5.272490105027226E-13
0                        810                      5.273764645505027E-13
0                        820                      5.274955788668338E-13
0                        830                      5.276015917151456E-13
0                        840                      5.27695310370508E-13
0                        850                      5.27784645022821E-13
0                        860                      5.278748169204561E-13
0                        870                      5.27962049468177E-13
0                        880                      5.280463201149995E-13
0                        890                      5.281258256605722E-13
0                        900                      5.281953563285375E-13
0                        910                      5.282610428298278E-13
0                        920                      5.283246860826746E-13
0                        930                      5.283851678888317E-13
0                        940                      5.284441429369169E-13
0                        950                      5.284983709114593E-13
0                        960                      5.28545930334551E-13
0                        970                      5.285927757773769E-13
0                        980                      5.286383898488833E-13
0                        990                      5.2867938094121E-13
0                        1000                     5.287186585938908E-13
0                        1010                     5.287573174610284E-13
0                        1020                     5.287937681276084E-13
0                        1030                     5.288262965414561E-13
0                        1040                     5.288547727603594E-13
0                        1050                     5.288806068006378E-13
0                        1060                     5.289056856923592E-13
0                        1070                     5.28931122229063E-13
0                        1080                     5.289566645362421E-13
0                        1090                     5.289795817522488E-13
0                        1100                     5.290007656138959E-13
0                        1110                     5.290217959894344E-13
0                        1120                     5.290421653892253E-13
0                        1130                     5.290608214757464E-13
0                        1140                     5.290772418941151E-13
0                        1150                     5.290917945321841E-13
0                        1160                     5.291054220645669E-13
0                        1170                     5.291190001612021E-13
0                        1180                     5.291326991573671E-13
0                        1190                     5.291460689674745E-13
0                        1200                     5.29158062998632E-13
0                        1210                     5.291689774296929E-13
0                        1220                     5.291796194597365E-13
0                        1230                     5.291901144722346E-13
0                        1240                     5.292001659790101E-13
0                        1250                     5.292092483414822E-13
0                        1260                     5.29217885403947E-13
0                        1270                     5.292260965491763E-13
0                        1280                     5.292338455868946E-13
0                        1290                     5.292412294974018E-13
0                        1300                     5.292478386832129E-13
0                        1310                     5.29254189299206E-13
0                        1320                     5.292602118283265E-13
0                        1330                     5.292655044651785E-13
0                        1340                     5.292704896511462E-13
0                        1350                     5.292754350601168E-13
0                        1360                     5.292801931954899E-13
0                        1370                     5.292846137875946E-13
0                        1380                     5.292888857049665E-13
0                        1390                     5.292928363923671E-13
0                        1400                     5.292966196977941E-13
0                        1410                     5.293001361833535E-13
0                        1420                     5.293033076669456E-13
0                        1430                     5.293064120279204E-13
0                        1440                     5.293092941047944E-13
0                        1450                     5.293117968042858E-13
0                        1460                     5.293142552327242E-13
0                        1470                     5.293166768401549E-13
0                        1480                     5.293189642279708E-13
0                        1490                     5.293210286146302E-13
0                        1500                     5.293228631250259E-13
0                        1510                     5.293246067509417E-13
0                        1520                     5.293263556217039E-13
0                        1530                     5.293280347594755E-13
0                        1540                     5.29329661457832E-13
0                        1550                     5.293312119632953E-13
0                        1560                     5.293325507359343E-13
