% Model:              fff-holesurface-binding-with epi-new-111kb1e-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 15:21
% Q (L/min)              Time (s)                 N_bound (mol/m^2)
0                        0                        4.961567689817862E-15
0                        10                       1.7170766244504598E-13
0                        20                       2.1436762606787784E-13
0                        30                       2.369962225335352E-13
0                        40                       2.493155238345857E-13
0                        50                       2.564201576291351E-13
0                        60                       2.59553581615125E-13
0                        70                       2.594581415349712E-13
0                        80                       2.5794422195913294E-13
0                        90                       2.5615305824279676E-13
0                        100                      2.5338700506840827E-13
0                        110                      2.4958361443946404E-13
0                        120                      2.4534295565536723E-13
0                        130                      2.410247475207215E-13
0                        140                      2.3653041348360457E-13
0                        150                      2.3171772599603875E-13
0                        160                      2.267554154420897E-13
0                        170                      2.2189346594232896E-13
0                        180                      2.170514068246236E-13
0                        190                      2.122758521322551E-13
0                        200                      2.0761916870736014E-13
0                        210                      2.0306969324509104E-13
0                        220                      1.985740662801043E-13
0                        230                      1.942324921202977E-13
0                        240                      1.9011021550612874E-13
0                        250                      1.8615008765450122E-13
0                        260                      1.822373835288612E-13
0                        270                      1.784080139288056E-13
0                        280                      1.747686793133402E-13
0                        290                      1.7135468527998673E-13
0                        300                      1.6806051791140293E-13
0                        310                      1.6480069319247137E-13
0                        320                      1.6164245362580678E-13
0                        330                      1.586739861444809E-13
0                        340                      1.5587907655777235E-13
0                        350                      1.5311893572137682E-13
0                        360                      1.5044414604341705E-13
0                        370                      1.4785385214827186E-13
0                        380                      1.4536325327118139E-13
0                        390                      1.4302124264872197E-13
0                        400                      1.407460685771088E-13
0                        410                      1.3855639031937547E-13
0                        420                      1.364942786192204E-13
0                        430                      1.344904696503926E-13
0                        440                      1.3255872347793907E-13
0                        450                      1.3073556555471595E-13
0                        460                      1.289626061225405E-13
0                        470                      1.2725170618949893E-13
0                        480                      1.256344012838235E-13
0                        490                      1.2406035999098575E-13
0                        500                      1.2253979905864008E-13
0                        510                      1.2109985583510387E-13
0                        520                      1.1969726677115092E-13
0                        530                      1.183407902340216E-13
0                        540                      1.1705386567275913E-13
0                        550                      1.157991748469781E-13
0                        560                      1.1458426976719291E-13
0                        570                      1.1342937678672008E-13
0                        580                      1.1230237521749524E-13
0                        590                      1.1120976698745344E-13
0                        600                      1.1016908512662126E-13
0                        610                      1.0915256104463257E-13
0                        620                      1.0816581629301267E-13
0                        630                      1.0722404884267485E-13
0                        640                      1.0630327342939606E-13
0                        650                      1.0541060890648415E-13
0                        660                      1.0457904055691436E-13
0                        670                      1.037652234308565E-13
0                        680                      1.029559274236E-13
0                        690                      1.0216691678773001E-13
0                        700                      1.0139533419198664E-13
0                        710                      1.0064622697911899E-13
0                        720                      9.992705717653679E-14
0                        730                      9.922157983778846E-14
0                        740                      9.853529686016762E-14
0                        750                      9.787465538127637E-14
0                        760                      9.722579290579981E-14
0                        770                      9.659368086183426E-14
0                        780                      9.598400107301277E-14
0                        790                      9.538471515295938E-14
0                        800                      9.480008793279849E-14
0                        810                      9.423514703997289E-14
0                        820                      9.367932001158365E-14
0                        830                      9.313648564960466E-14
0                        840                      9.26112334326651E-14
0                        850                      9.209441356073005E-14
0                        860                      9.158874797023021E-14
0                        870                      9.109833787321175E-14
0                        880                      9.061509439298129E-14
0                        890                      9.014209998242765E-14
0                        900                      8.968127102299625E-14
0                        910                      8.922746184793422E-14
0                        920                      8.879344714364728E-14
