% Model:              fff-holesurface-binding-with epi-new_kb5E-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 24 2026, 15:21
% Q (L/min)              Time (s)                N_bound (mol/m^2)
0                        0                        4.960928199091233E-15
0                        10                       1.4814513914779452E-13
0                        20                       1.616952665550416E-13
0                        30                       1.5609764922357265E-13
0                        40                       1.445215411442862E-13
0                        50                       1.3213528442446368E-13
0                        60                       1.2026804415399928E-13
0                        70                       1.0877924506543005E-13
0                        80                       9.853213321667348E-14
0                        90                       8.964882565109211E-14
0                        100                      8.179315968546057E-14
0                        110                      7.501884415397823E-14
0                        120                      6.919892520027075E-14
0                        130                      6.399072025670359E-14
0                        140                      5.940951133951349E-14
0                        150                      5.5050968874400165E-14
0                        160                      5.124184963843415E-14
0                        170                      4.8321559696597475E-14
0                        180                      4.596361199190657E-14
0                        190                      4.3778441378807385E-14
0                        200                      4.1799922277878435E-14
0                        210                      3.992212945827907E-14
0                        220                      3.832371697302677E-14
0                        230                      3.707975808817447E-14
0                        240                      3.597159261898624E-14
0                        250                      3.488753152924753E-14
0                        260                      3.3901127021678243E-14
0                        270                      3.307914019932664E-14
0                        280                      3.237695966788589E-14
0                        290                      3.1691088341269294E-14
0                        300                      3.104358369345625E-14
0                        310                      3.047527823008462E-14
0                        320                      2.99833064445847E-14
0                        330                      2.9504491721863226E-14
0                        340                      2.904728579138499E-14
0                        350                      2.8634905080419435E-14
0                        360                      2.8263041158804604E-14
0                        370                      2.7898642394133587E-14
0                        380                      2.7552756750679156E-14
0                        390                      2.7237816094978324E-14
0                        400                      2.6946255707839154E-14
0                        410                      2.6658417931840377E-14
0                        420                      2.6379156621039805E-14
0                        430                      2.611758508852094E-14
0                        440                      2.5871405818785748E-14
0                        450                      2.563030012708759E-14
0                        460                      2.5394115343703866E-14
0                        470                      2.517491757527125E-14
0                        480                      2.4965989870609724E-14
0                        490                      2.475813043948571E-14
0                        500                      2.455566118210732E-14
0                        510                      2.4357364602148845E-14
0                        520                      2.4167273431684353E-14
0                        530                      2.398970286644557E-14
0                        540                      2.3813665913947437E-14
0                        550                      2.3639561841821045E-14
0                        560                      2.346972718776619E-14
0                        570                      2.330286936122601E-14
0                        580                      2.314513936484482E-14
0                        590                      2.2990716246812378E-14
0                        600                      2.2837806867456264E-14
0                        610                      2.268687200721835E-14
0                        620                      2.2539195034567078E-14
0                        630                      2.2396308942435378E-14
0                        640                      2.2256252023407817E-14
0                        650                      2.2119315205239893E-14
0                        660                      2.1988805744082235E-14
0                        670                      2.185942304228337E-14
0                        680                      2.1731392043551134E-14
0                        690                      2.1604681223502817E-14
0                        700                      2.1481166221773465E-14
0                        710                      2.13596139327607E-14
0                        720                      2.124107012079123E-14
0                        730                      2.1124754934072488E-14
0                        740                      2.1010552133682857E-14
0                        750                      2.0900798695288237E-14
0                        760                      2.079185853768955E-14
0                        770                      2.0683916825406652E-14
0                        780                      2.0576940323729514E-14
0                        790                      2.047229498191011E-14
0                        800                      2.036908520324315E-14
0                        810                      2.0268116343231723E-14
0                        820                      2.0169258403477906E-14
0                        830                      2.007142109757453E-14
0                        840                      1.997561357828654E-14
0                        850                      1.9882537643468994E-14
0                        860                      1.9789836139692456E-14
0                        870                      1.9697993515936425E-14
0                        880                      1.9606955484852606E-14
0                        890                      1.9517799028314206E-14
0                        900                      1.9429566871261682E-14
0                        910                      1.93432040751793E-14
0                        920                      1.925775918537933E-14
0                        930                      1.9173965487538914E-14
0                        940                      1.9092329128962187E-14
0                        950                      1.901097781768001E-14
0                        960                      1.893028833921783E-14
0                        970                      1.8850225854072496E-14
0                        980                      1.8771634918893115E-14
0                        990                      1.869376918796182E-14
0                        1000                     1.8617804865994883E-14
0                        1010                     1.8543199153797197E-14
0                        1020                     1.846884032718624E-14
0                        1030                     1.8395030315113184E-14
0                        1040                     1.8321892931759626E-14
0                        1050                     1.8249951876836204E-14
0                        1060                     1.8178659927220895E-14
0                        1070                     1.810862384376073E-14
0                        1080                     1.8039107047925393E-14
0                        1090                     1.797102364272097E-14
0                        1100                     1.7904007733958442E-14
0                        1110                     1.783720053982015E-14
0                        1120                     1.7770848063172093E-14
0                        1130                     1.7705043686751397E-14
0                        1140                     1.7640213947731027E-14
0                        1150                     1.7575913223957624E-14
0                        1160                     1.751318175615629E-14
0                        1170                     1.7451199616178514E-14
0                        1180                     1.7389326015160254E-14
0                        1190                     1.732797694558424E-14
0                        1200                     1.7267018721266017E-14
0                        1210                     1.7206932080273672E-14
0                        1220                     1.7147960858266897E-14
0                        1230                     1.708914497498145E-14
0                        1240                     1.7030694033308218E-14
0                        1250                     1.6972589617911324E-14
0                        1260                     1.69152831703645E-14
0                        1270                     1.6858368670002552E-14
0                        1280                     1.680225913919349E-14
0                        1290                     1.6746536172926073E-14
0                        1300                     1.66915548696236E-14
0                        1310                     1.6637499889160197E-14
0                        1320                     1.658357116724214E-14
0                        1330                     1.652994285577261E-14
0                        1340                     1.6476603729988546E-14
0                        1350                     1.6423933352431018E-14
0                        1360                     1.6371592826957347E-14
0                        1370                     1.6319943962440326E-14
0                        1380                     1.6268664618377414E-14
0                        1390                     1.621811302372406E-14
0                        1400                     1.6168251179997963E-14
0                        1410                     1.6118466254186073E-14
0                        1420                     1.6068923224489252E-14
0                        1430                     1.601960542297311E-14
0                        1440                     1.5970831607837004E-14
0                        1450                     1.5922382685102444E-14
0                        1460                     1.587454252647892E-14
0                        1470                     1.5827435462710335E-14
0                        1480                     1.5780421612298067E-14
0                        1490                     1.5733632810055173E-14
0                        1500                     1.5687065123772496E-14
0                        1510                     1.5641010355437173E-14
0                        1520                     1.5595209862507706E-14
0                        1530                     1.5549934005099392E-14
0                        1540                     1.5504911502875142E-14
0                        1550                     1.5460378716643516E-14
0                        1560                     1.5416458995294295E-14
0                        1570                     1.5372624477541846E-14
0                        1580                     1.5328992671147937E-14
0                        1590                     1.5285555448653235E-14
0                        1600                     1.524256819196927E-14
0                        1610                     1.519980391028185E-14
0                        1620                     1.5157644940589983E-14
0                        1630                     1.511589625589902E-14
0                        1640                     1.5074232510672626E-14
0                        1650                     1.5032747792946717E-14
0                        1660                     1.499149167276613E-14
0                        1670                     1.495062386647847E-14
0                        1680                     1.4909977678525377E-14
0                        1690                     1.4869750458991528E-14
0                        1700                     1.4829699601541853E-14
0                        1710                     1.479015286683697E-14
0                        1720                     1.4750961984849908E-14
0                        1730                     1.4711849537911907E-14
0                        1740                     1.4672899502578027E-14
0                        1750                     1.4634153660331918E-14
0                        1760                     1.459575440440756E-14
0                        1770                     1.4557552964228435E-14
0                        1780                     1.4519737732325542E-14
0                        1790                     1.4482168990580855E-14
0                        1800                     1.4444762410761707E-14
0                        1810                     1.440786125008063E-14
0                        1820                     1.4371139468004764E-14
0                        1830                     1.4334525428597634E-14
0                        1840                     1.4298041580575672E-14
0                        1850                     1.4261813660409566E-14
0                        1860                     1.4225823185961953E-14
0                        1870                     1.4190067915254875E-14
0                        1880                     1.415460810018051E-14
0                        1890                     1.4119305220224115E-14
0                        1900                     1.4084474015646416E-14
0                        1910                     1.4049804864436784E-14
0                        1920                     1.4015231233308252E-14
0                        1930                     1.3980774119039947E-14
0                        1940                     1.3946548014713898E-14
0                        1950                     1.3912536592930789E-14
0                        1960                     1.3878754608414981E-14
0                        1970                     1.3845428122976155E-14
0                        1980                     1.3812180377130697E-14
0                        1990                     1.3779041587453107E-14
0                        2000                     1.3746007566030849E-14
0                        2010                     1.3713231950055112E-14
0                        2020                     1.3680612271805856E-14
0                        2030                     1.3648246700713688E-14
0                        2040                     1.3616065159608251E-14
0                        2050                     1.358407644944448E-14
0                        2060                     1.355248612463849E-14
0                        2070                     1.3520968457430056E-14
0                        2080                     1.3489552798710785E-14
0                        2090                     1.3458233749127033E-14
0                        2100                     1.3427151578172182E-14
0                        2110                     1.3396212255807648E-14
0                        2120                     1.3365543034763895E-14
0                        2130                     1.3335244435066086E-14
0                        2140                     1.3304991604398944E-14
0                        2150                     1.3274819679857558E-14
0                        2160                     1.3244801807157531E-14
0                        2170                     1.3214904147931698E-14
0                        2180                     1.3185378247563784E-14
0                        2190                     1.3156023998737793E-14
0                        2200                     1.3126703552263103E-14
0                        2210                     1.3097525489289654E-14
0                        2220                     1.306844661256781E-14
0                        2230                     1.3039608417252255E-14
0                        2240                     1.3011049625402711E-14
0                        2250                     1.2982531653285841E-14
0                        2260                     1.2954113903134971E-14
0                        2270                     1.2925794046783383E-14
0                        2280                     1.2897694064224987E-14
0                        2290                     1.2869701428696675E-14
0                        2300                     1.2841934260986664E-14
0                        2310                     1.2814270833392713E-14
0                        2320                     1.2786830821982967E-14
0                        2330                     1.2759644287772184E-14
0                        2340                     1.2732494446722462E-14
0                        2350                     1.2705435561721869E-14
0                        2360                     1.267846630041762E-14
0                        2370                     1.2651697892458388E-14
0                        2380                     1.2625028565842174E-14
0                        2390                     1.2598640853688617E-14
0                        2400                     1.2572422684710178E-14
0                        2410                     1.2546246613134087E-14
0                        2420                     1.2520151901661296E-14
0                        2430                     1.2494166903120374E-14
0                        2440                     1.2468357975825924E-14
0                        2450                     1.2442698479543723E-14
0                        2460                     1.2417141309065232E-14
0                        2470                     1.2391871161480836E-14
0                        2480                     1.2366686726867246E-14
0                        2490                     1.2341562866883077E-14
0                        2500                     1.2316507624030747E-14
0                        2510                     1.2291598361588635E-14
0                        2520                     1.2266811353130559E-14
0                        2530                     1.2242161808148718E-14
0                        2540                     1.2217664822746851E-14
0                        2550                     1.2193261472295735E-14
0                        2560                     1.2169122685259981E-14
0                        2570                     1.2145063812052358E-14
0                        2580                     1.2121061550471267E-14
0                        2590                     1.2097123334358217E-14
0                        2600                     1.207332128012062E-14
0                        2610                     1.2049633278437512E-14
0                        2620                     1.2026074121826303E-14
0                        2630                     1.2002682872357737E-14
0                        2640                     1.1979373509279733E-14
0                        2650                     1.1956182131684661E-14
0                        2660                     1.1933221649976653E-14
0                        2670                     1.1910301339964022E-14
0                        2680                     1.1887447046819385E-14
0                        2690                     1.1864652908181735E-14
0                        2700                     1.1842007979181394E-14
0                        2710                     1.181944737951372E-14
0                        2720                     1.179703500905693E-14
0                        2730                     1.1774720281961568E-14
0                        2740                     1.1752522966004215E-14
0                        2750                     1.1730547719889211E-14
0                        2760                     1.1708609290446102E-14
0                        2770                     1.1686731649153418E-14
0                        2780                     1.1664910016681269E-14
0                        2790                     1.1643227940254625E-14
0                        2800                     1.1621624850685446E-14
0                        2810                     1.1600186353851865E-14
0                        2820                     1.1578928404279881E-14
0                        2830                     1.1557694900345483E-14
0                        2840                     1.1536523048697198E-14
0                        2850                     1.1515413077793641E-14
0                        2860                     1.1494442216854741E-14
0                        2870                     1.1473540188187896E-14
0                        2880                     1.1452783392490773E-14
0                        2890                     1.1432093503693409E-14
0                        2900                     1.1411548014884852E-14
