% Model:              fff-holesurface-binding-with epi-new_kb5E-3-rerun.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 24 2026, 17:08
% Q (L/min)              Time (s)                  N_bound (mol/m^2)
0                        0                        4.9616476396375635E-15
0                        10                       1.7492198600727957E-13
0                        20                       2.2509045412930517E-13
0                        30                       2.5152948177601916E-13
0                        40                       2.7107005456102957E-13
0                        50                       2.8403358894669295E-13
0                        60                       2.934416834899453E-13
0                        70                       3.001232546717878E-13
0                        80                       3.044759440984639E-13
0                        90                       3.076566172040771E-13
0                        100                      3.0971559383092996E-13
0                        110                      3.1058913347078057E-13
0                        120                      3.1053449129073924E-13
0                        130                      3.1014460043203224E-13
0                        140                      3.0948469340384853E-13
0                        150                      3.0852186905752615E-13
0                        160                      3.0693273660896134E-13
0                        170                      3.0476795854714473E-13
0                        180                      3.025601352268002E-13
0                        190                      3.00284314592706E-13
0                        200                      2.9782587789739734E-13
0                        210                      2.951423830710172E-13
0                        220                      2.9236879643049317E-13
0                        230                      2.8957239178198997E-13
0                        240                      2.867553823790009E-13
0                        250                      2.838795546471202E-13
0                        260                      2.8093812344697374E-13
0                        270                      2.7799721899075407E-13
0                        280                      2.750618610238306E-13
0                        290                      2.7213929496350277E-13
0                        300                      2.692356982548384E-13
0                        310                      2.6634914662269076E-13
0                        320                      2.6347501785930223E-13
0                        330                      2.6063681450935047E-13
0                        340                      2.57852923329537E-13
0                        350                      2.5510832179581336E-13
0                        360                      2.523761644029159E-13
0                        370                      2.4968556624669917E-13
0                        380                      2.4706357708535696E-13
0                        390                      2.4447941517681003E-13
0                        400                      2.4191941372956764E-13
0                        410                      2.394488112624039E-13
0                        420                      2.3701096049984226E-13
0                        430                      2.3459905819763057E-13
0                        440                      2.322154211913259E-13
0                        450                      2.298895424892765E-13
0                        460                      2.2761302757184433E-13
0                        470                      2.2538960244290728E-13
0                        480                      2.232272712907121E-13
0                        490                      2.2110057261098003E-13
0                        500                      2.19079157846837E-13
0                        510                      2.171017681182815E-13
0                        520                      2.1513340481024217E-13
0                        530                      2.1319348978617587E-13
0                        540                      2.1128123328477296E-13
0                        550                      2.0943162577802143E-13
0                        560                      2.0761200535146212E-13
0                        570                      2.0585649028885063E-13
0                        580                      2.0414407321085557E-13
0                        590                      2.0245564450627902E-13
0                        600                      2.0082030252450037E-13
0                        610                      1.992237144957221E-13
0                        620                      1.9764930038451266E-13
0                        630                      1.961400724006404E-13
0                        640                      1.946840369115387E-13
0                        650                      1.9323304436346945E-13
0                        660                      1.918059677421295E-13
0                        670                      1.9040169142971077E-13
0                        680                      1.8902936783850335E-13
0                        690                      1.8770008888955152E-13
0                        700                      1.8639149759289978E-13
0                        710                      1.8511413121315277E-13
0                        720                      1.8389479800029638E-13
0                        730                      1.82684680934344E-13
0                        740                      1.814899249611317E-13
0                        750                      1.8030913965849055E-13
0                        760                      1.7916284609619102E-13
0                        770                      1.7803540742749977E-13
0                        780                      1.7694117555191092E-13
0                        790                      1.758677324181385E-13
0                        800                      1.7481965635780276E-13
0                        810                      1.7381727421651506E-13
0                        820                      1.728218264116615E-13
0                        830                      1.7183791445152047E-13
0                        840                      1.7086466312703964E-13
0                        850                      1.6991784733060468E-13
0                        860                      1.6898551795923549E-13
0                        870                      1.680787885829323E-13
0                        880                      1.671933495128333E-13
0                        890                      1.6631918458994125E-13
0                        900                      1.6546639356695046E-13
0                        910                      1.6463251008395842E-13
0                        920                      1.6380851238076988E-13
0                        930                      1.630072450003022E-13
0                        940                      1.622312819117407E-13
0                        950                      1.6145892276381005E-13
0                        960                      1.6069543897868688E-13
0                        970                      1.5994070526623976E-13
0                        980                      1.5920506859757003E-13
0                        990                      1.5847871520815054E-13
0                        1000                     1.5777166948609835E-13
0                        1010                     1.570731505135401E-13
0                        1020                     1.5639318833848962E-13
0                        1030                     1.557331881220828E-13
0                        1040                     1.5507591125440445E-13
0                        1050                     1.5442543369961859E-13
0                        1060                     1.5378174531707547E-13
0                        1070                     1.531529120073384E-13
0                        1080                     1.5253131593506463E-13
0                        1090                     1.5193019153149301E-13
0                        1100                     1.51340650459668E-13
0                        1110                     1.5075391814488765E-13
0                        1120                     1.5017251451546766E-13
0                        1130                     1.495988090039998E-13
0                        1140                     1.4903600737693787E-13
0                        1150                     1.4848037302445147E-13
0                        1160                     1.4793689250237816E-13
0                        1170                     1.4739850990547284E-13
0                        1180                     1.4687530773207008E-13
0                        1190                     1.4636104803542824E-13
0                        1200                     1.4584909569080516E-13
0                        1210                     1.4534144198144513E-13
0                        1220                     1.4483990495242371E-13
0                        1230                     1.4434702955279983E-13
0                        1240                     1.4385994376105632E-13
0                        1250                     1.4338852181819526E-13
0                        1260                     1.429229483235669E-13
0                        1270                     1.4245859883016167E-13
0                        1280                     1.4199947645329686E-13
0                        1290                     1.41543914358606E-13
0                        1300                     1.4109748908145787E-13
0                        1310                     1.4066068019015365E-13
0                        1320                     1.40225267813323E-13
0                        1330                     1.3979330586653185E-13
0                        1340                     1.3936481869730556E-13
0                        1350                     1.3894373471443702E-13
0                        1360                     1.385262779797704E-13
0                        1370                     1.3811637406807984E-13
0                        1380                     1.3770974882547225E-13
0                        1390                     1.3731062333475482E-13
0                        1400                     1.369191880321199E-13
0                        1410                     1.3652884310138325E-13
0                        1420                     1.361412288372337E-13
0                        1430                     1.3575640738339338E-13
0                        1440                     1.3537755888059427E-13
0                        1450                     1.3500164994880616E-13
0                        1460                     1.3463200097207926E-13
0                        1470                     1.3426543306564305E-13
0                        1480                     1.339058081016507E-13
0                        1490                     1.3355155449582688E-13
0                        1500                     1.3319792044891216E-13
0                        1510                     1.328464875167772E-13
0                        1520                     1.3249703288446193E-13
0                        1530                     1.3215243803132646E-13
0                        1540                     1.3181043908902026E-13
0                        1550                     1.314741676552004E-13
0                        1560                     1.3114356025360073E-13
0                        1570                     1.3081369920577703E-13
0                        1580                     1.304857466804197E-13
0                        1590                     1.301597867286603E-13
0                        1600                     1.2983809645506035E-13
0                        1610                     1.2951851938353204E-13
0                        1620                     1.2920335730499035E-13
0                        1630                     1.2889012391596985E-13
0                        1640                     1.2858132928576844E-13
0                        1650                     1.282771045239013E-13
0                        1660                     1.2797353698050885E-13
0                        1670                     1.2767161322790048E-13
0                        1680                     1.273713708265002E-13
0                        1690                     1.2707472510967235E-13
0                        1700                     1.2677985973282015E-13
0                        1710                     1.264901696392833E-13
0                        1720                     1.2620402297710846E-13
0                        1730                     1.2591818698446682E-13
0                        1740                     1.256340857761511E-13
0                        1750                     1.2535152723208043E-13
0                        1760                     1.2507165286596437E-13
0                        1770                     1.24796756213692E-13
0                        1780                     1.2452278995119137E-13
0                        1790                     1.2424963905242035E-13
0                        1800                     1.2397849022567044E-13
0                        1810                     1.2370865418173743E-13
0                        1820                     1.234430332221946E-13
0                        1830                     1.231801528864193E-13
0                        1840                     1.229175842981805E-13
0                        1850                     1.226565662247707E-13
0                        1860                     1.22396811670074E-13
0                        1870                     1.2213947550046615E-13
0                        1880                     1.2188624199580571E-13
0                        1890                     1.2163368394293077E-13
0                        1900                     1.2138186979870856E-13
0                        1910                     1.211317357499659E-13
0                        1920                     1.2088274810102695E-13
0                        1930                     1.2063744507747702E-13
0                        1940                     1.2039424311776962E-13
0                        1950                     1.2015132817443377E-13
0                        1960                     1.1990977576472965E-13
0                        1970                     1.1966926348979677E-13
0                        1980                     1.1943093929164093E-13
0                        1990                     1.1919600427356017E-13
0                        2000                     1.1896156633357627E-13
0                        2010                     1.1872781443938231E-13
0                        2020                     1.1849548355779046E-13
0                        2030                     1.182641744718577E-13
0                        2040                     1.1803612026205509E-13
0                        2050                     1.178096716546137E-13
0                        2060                     1.1758349810958725E-13
0                        2070                     1.1735853316748143E-13
0                        2080                     1.171344381859828E-13
0                        2090                     1.1691234178412358E-13
0                        2100                     1.1669306944265124E-13
0                        2110                     1.164741700074229E-13
0                        2120                     1.1625592743959433E-13
0                        2130                     1.160388597479499E-13
0                        2140                     1.1582274538668753E-13
0                        2150                     1.1560950431810677E-13
0                        2160                     1.15397519207668E-13
0                        2170                     1.151857935308524E-13
0                        2180                     1.1497514918957094E-13
0                        2190                     1.1476524459983832E-13
0                        2200                     1.1455717927338527E-13
0                        2210                     1.1435149092744936E-13
0                        2220                     1.141460849183912E-13
0                        2230                     1.1394130794447114E-13
0                        2240                     1.1373751323855716E-13
0                        2250                     1.1353462011696762E-13
0                        2260                     1.1333427932022503E-13
