image-ID,x,y,z,chisq,vis-probe
1,25689.8,35345.7,667.831,651.323,1
1,30332.9,28939.8,753.789,396.212,1
1,17043.5,36458.5,1242.11,394.624,1
1,30590.7,27561.2,1371.95,170.606,1
1,25056.9,32841.5,1546.09,461.555,1
2,25678.1,35348.6,656.025,702.349,1
2,30302,28957.9,758.856,401.786,1
2,17108.9,37685.4,784.308,149.172,1
2,23257.3,35386.3,1086.97,335.504,1
2,17023.5,36455.9,1250.39,441.748,1
2,19421.5,23727.7,1426.83,469.48,1
2,25065.9,32830.1,1511.84,405.315,1
3,27619.1,32984.1,657.274,227.161,1
3,25673.5,35362.1,655.63,721.186,1
3,30299.7,28953.1,724.937,346.499,1
3,23269.4,35385.9,1069.84,674.895,1
3,19446.1,23707,1411.77,370.852,1
3,25026.6,32805.6,1520.62,438.722,1
4,27624.2,32957.4,652.84,444.227,1
4,25678,35346.7,653.057,618.571,1
4,30344.3,28957.5,719.797,317.208,1
4,23257.4,35395.5,1058.2,543.292,1
4,19458.9,23723.8,1403.21,550.298,1
4,16027.6,22852,1512.86,390.956,1
5,25684.4,35341.8,675.403,589.124,1
5,30332.4,28950.8,729.46,261.309,1
5,30754.5,33755.4,716.246,191.878,1
5,23275.4,35388.6,1066.85,115.362,1
5,19453.4,23736.9,1390.84,655.972,1
5,16017.8,22820.6,1482.54,510.088,1
6,34061,27899.7,579.93,171.442,1
6,30786.1,33733.3,660.708,244.303,1
6,25668,35345.1,674.328,621.653,1
6,30331.4,28947.6,736.041,317.465,1
6,16013.6,22847.4,1463.37,416.403,1
6,19462,23737.1,1423.06,382.846,1
7,25678.5,35377.4,288.708,34.6063,1
7,34054.5,27900.3,566.355,286.327,1
7,25673.8,35347.1,665.074,623.232,1
7,30320.8,28969,726.404,362.163,1
7,30754.9,33737.7,710.039,318.756,1
7,16763.8,24101.8,1214.25,451.821,1
8,24390.3,29237.2,533.763,31.1297,1
8,34048.6,27889.8,572.828,199.001,1
8,25669.6,35361.2,663.785,702.824,1
8,30782.7,33739,703.338,200.569,1
8,30317.2,28956.9,749.925,391.097,1
8,24446.7,29299.2,764.687,389.234,1
8,24197.1,29212.6,1129.36,30.1939,1
8,16770.8,24101.6,1228.56,710.306,1
9,25687.6,35340,681.723,479.601,1
9,30767.4,33754.6,704.886,300.073,1
9,30312.7,28954.1,745.434,333.523,1
9,16754.9,24095.2,1250.79,627.332,1
10,26171,35238.3,527.847,241.462,1
10,25682,35349.1,650.419,645.738,1
