spatialFrequency, correlation, smoothCorrelation
0,0.999946,1.0131
3.87357e-05,0.999638,1.01099
7.74713e-05,0.998457,1.00887
0.000116207,0.998398,1.00674
0.000154943,0.997577,1.00461
0.000193678,0.997244,1.00248
0.000232414,0.997589,1.00034
0.00027115,0.995403,0.998212
0.000309885,0.995049,0.996082
0.000348621,0.994548,0.993957
0.000387357,0.99385,0.991838
0.000426092,0.994124,0.989723
0.000464828,0.991232,0.987613
0.000503564,0.98945,0.985508
0.000542299,0.990592,0.983411
0.000581035,0.986187,0.981321
0.000619771,0.986229,0.979237
0.000658506,0.985782,0.977161
0.000697242,0.982381,0.975095
0.000735978,0.980706,0.973035
0.000774713,0.98183,0.970986
0.000813449,0.977374,0.968944
0.000852185,0.972145,0.966914
0.00089092,0.973765,0.964889
0.000929656,0.974682,0.962875
0.000968392,0.965757,0.96087
0.00100713,0.959996,0.958873
0.00104586,0.960551,0.956885
0.0010846,0.961748,0.954905
0.00112333,0.956308,0.952934
0.00116207,0.952266,0.950972
0.00120081,0.949315,0.949018
0.00123954,0.952267,0.947073
0.00127828,0.953687,0.945137
0.00131701,0.943327,0.94321
0.00135575,0.932152,0.94129
0.00139448,0.930048,0.939379
0.00143322,0.923563,0.937477
0.00147196,0.928374,0.935583
0.00151069,0.936523,0.933697
0.00154943,0.933316,0.93182
0.00158816,0.92252,0.929951
0.0016269,0.917772,0.928091
0.00166563,0.916083,0.926239
0.00170437,0.912764,0.924396
0.00174311,0.900792,0.922562
0.00178184,0.910476,0.920738
0.00182058,0.903551,0.918923
0.00185931,0.912548,0.917119
0.00189805,0.909082,0.915325
0.00193678,0.896357,0.913541
0.00197552,0.903166,0.911769
0.00201425,0.907671,0.910007
0.00205299,0.896563,0.908257
0.00209173,0.881596,0.906519
0.00213046,0.879642,0.904793
0.0021692,0.908701,0.903078
0.00220793,0.898463,0.901377
0.00224667,0.892266,0.899687
0.0022854,0.893182,0.898011
0.00232414,0.891176,0.896347
0.00236288,0.891938,0.894696
0.00240161,0.897048,0.893059
0.00244035,0.887644,0.891434
0.00247908,0.882074,0.889823
0.00251782,0.891032,0.888225
0.00255655,0.882263,0.886639
0.00259529,0.870388,0.885066
0.00263403,0.882627,0.883507
0.00267276,0.879147,0.881959
0.0027115,0.877063,0.880426
0.00275023,0.881446,0.878906
0.00278897,0.878818,0.877398
0.0028277,0.868053,0.875905
0.00286644,0.853713,0.874424
0.00290518,0.87063,0.872958
0.00294391,0.865403,0.871507
0.00298265,0.86871,0.87007
0.00302138,0.86121,0.868647
0.00306012,0.86029,0.867241
0.00309885,0.860298,0.865849
0.00313759,0.839478,0.864473
0.00317632,0.83127,0.863112
0.00321506,0.843352,0.861768
0.0032538,0.844161,0.860439
0.00329253,0.84521,0.859125
0.00333127,0.85229,0.857828
0.00337,0.848724,0.856545
0.00340874,0.85969,0.855278
0.00344747,0.874723,0.854026
0.00348621,0.850102,0.852788
0.00352495,0.837009,0.851564
0.00356368,0.849415,0.850354
0.00360242,0.835955,0.849158
0.00364115,0.812199,0.847974
0.00367989,0.817691,0.846803
0.00371862,0.833512,0.845644
0.00375736,0.830393,0.844497
0.0037961,0.832908,0.843362
0.00383483,0.840168,0.842238
0.00387357,0.839627,0.841124
0.0039123,0.84246,0.840022
0.00395104,0.839147,0.83893
0.00398977,0.827182,0.837848
0.00402851,0.819595,0.836776
0.00406724,0.826904,0.835713
0.00410598,0.828682,0.834659
0.00414472,0.816947,0.833614
0.00418345,0.822338,0.832578
0.00422219,0.816454,0.83155
0.00426092,0.809168,0.830531
0.00429966,0.816826,0.829518
0.00433839,0.825962,0.828515
0.00437713,0.819256,0.827518
0.00441587,0.815553,0.826528
0.0044546,0.810598,0.825546
0.00449334,0.802334,0.824571
0.00453207,0.831518,0.823603
0.00457081,0.841574,0.822642
0.00460954,0.829509,0.821688
0.00464828,0.827122,0.820741
0.00468702,0.837308,0.819801
0.00472575,0.820805,0.818867
0.00476449,0.829277,0.81794
0.00480322,0.826038,0.81702
0.00484196,0.82075,0.816106
0.00488069,0.814603,0.815199
0.00491943,0.798515,0.814298
0.00495817,0.820351,0.813403
0.0049969,0.833198,0.812515
0.00503564,0.81244,0.811632
0.00507437,0.815606,0.810755
0.00511311,0.804109,0.809883
0.00515184,0.825052,0.809017
0.00519058,0.822562,0.808154
0.00522932,0.808971,0.807296
0.00526805,0.806482,0.806442
0.00530679,0.812541,0.805592
0.00534552,0.812548,0.804744
0.00538426,0.801111,0.8039
0.00542299,0.790215,0.803058
0.00546173,0.789018,0.802219
0.00550046,0.794374,0.801382
0.0055392,0.798568,0.800547
0.00557794,0.808242,0.799715
0.00561667,0.800074,0.798884
0.00565541,0.803624,0.798055
0.00569414,0.801178,0.797229
0.00573288,0.79016,0.796403
0.00577161,0.782791,0.795579
0.00581035,0.800634,0.794756
0.00584909,0.811396,0.793934
0.00588782,0.799131,0.793113
0.00592656,0.787148,0.792292
0.00596529,0.797275,0.791472
0.00600403,0.800578,0.79065
0.00604276,0.787616,0.789829
0.0060815,0.788627,0.789007
0.00612024,0.79625,0.788184
0.00615897,0.785924,0.78736
0.00619771,0.782517,0.786534
0.00623644,0.801594,0.785708
0.00627518,0.784919,0.784879
0.00631391,0.771614,0.784049
0.00635265,0.76707,0.783217
0.00639139,0.77932,0.782384
0.00643012,0.785258,0.781549
0.00646886,0.759188,0.780712
0.00650759,0.767923,0.779873
0.00654633,0.762802,0.779031
0.00658506,0.785651,0.778188
0.0066238,0.791877,0.777342
0.00666254,0.776835,0.776494
0.00670127,0.772853,0.775645
0.00674001,0.784981,0.774794
0.00677874,0.77517,0.773943
0.00681748,0.769354,0.77309
0.00685621,0.774739,0.772236
0.00689495,0.782544,0.771381
0.00693368,0.794463,0.770527
0.00697242,0.75114,0.769672
0.00701116,0.765894,0.768817
0.00704989,0.779177,0.767963
0.00708863,0.770406,0.767108
0.00712736,0.769928,0.766253
0.0071661,0.747974,0.765399
0.00720483,0.766642,0.764545
0.00724357,0.768951,0.763692
0.00728231,0.751148,0.76284
0.00732104,0.761795,0.761988
0.00735978,0.761207,0.761137
0.00739851,0.770263,0.760286
0.00743725,0.766548,0.759437
0.00747598,0.743292,0.758586
0.00751472,0.748595,0.757737
0.00755346,0.765161,0.756887
0.00759219,0.762431,0.756037
0.00763093,0.757349,0.755186
0.00766966,0.758092,0.754334
0.0077084,0.738091,0.753481
0.00774713,0.76745,0.752626
0.00778587,0.753757,0.75177
0.00782461,0.733438,0.750912
0.00786334,0.736907,0.750051
0.00790208,0.76305,0.749189
0.00794081,0.749819,0.748325
0.00797955,0.74544,0.747458
0.00801828,0.727018,0.746589
0.00805702,0.72829,0.745718
0.00809575,0.73954,0.744844
0.00813449,0.735166,0.743968
0.00817323,0.729409,0.743088
0.00821196,0.724634,0.742207
0.0082507,0.736823,0.741323
0.00828943,0.734089,0.740436
0.00832817,0.739747,0.739547
0.0083669,0.762198,0.738655
0.00840564,0.764773,0.737761
0.00844438,0.760972,0.736864
0.00848311,0.755347,0.735965
0.00852185,0.740737,0.735063
0.00856058,0.745028,0.734159
0.00859932,0.732277,0.733252
0.00863805,0.74195,0.732343
0.00867679,0.73471,0.73143
0.00871553,0.735159,0.730515
0.00875426,0.736645,0.729598
0.008793,0.729189,0.728677
0.00883173,0.716632,0.727753
0.00887047,0.710638,0.726826
0.0089092,0.7136,0.725897
0.00894794,0.732721,0.724965
0.00898668,0.723996,0.724029
0.00902541,0.714294,0.723092
0.00906415,0.719747,0.722152
0.00910288,0.712109,0.721209
0.00914162,0.728314,0.720264
0.00918035,0.718729,0.719317
0.00921909,0.712738,0.718369
0.00925782,0.719268,0.717418
0.00929656,0.733579,0.716467
0.0093353,0.730201,0.715513
0.00937403,0.722398,0.714558
0.00941277,0.705432,0.713602
0.0094515,0.724992,0.712645
0.00949024,0.716266,0.711688
0.00952897,0.699544,0.71073
0.00956771,0.713358,0.709771
0.00960645,0.729288,0.708813
0.00964518,0.731425,0.707854
0.00968392,0.708575,0.706894
0.00972265,0.707655,0.705934
0.00976139,0.718431,0.704974
0.00980012,0.718063,0.704012
0.00983886,0.709418,0.70305
0.0098776,0.716464,0.702088
0.00991633,0.713226,0.701124
0.00995507,0.71149,0.700159
0.0099938,0.707877,0.699193
0.0100325,0.686585,0.698225
0.0100713,0.694068,0.697255
0.01011,0.703078,0.696284
0.0101487,0.687544,0.69531
0.0101875,0.685972,0.694333
0.0102262,0.693936,0.693354
0.010265,0.691995,0.692371
0.0103037,0.696301,0.691385
0.0103424,0.687689,0.690396
0.0103812,0.657259,0.689402
0.0104199,0.671824,0.688405
0.0104586,0.681915,0.687403
0.0104974,0.683548,0.686396
0.0105361,0.673673,0.685383
0.0105748,0.674983,0.684365
0.0106136,0.66594,0.683341
0.0106523,0.681142,0.68231
0.010691,0.702332,0.681273
0.0107298,0.700154,0.680228
0.0107685,0.692132,0.679176
0.0108073,0.674566,0.678116
0.010846,0.67493,0.677049
0.0108847,0.678646,0.675974
0.0109235,0.666851,0.674891
0.0109622,0.652939,0.6738
0.0110009,0.674968,0.672701
0.0110397,0.684188,0.671596
0.0110784,0.676988,0.670483
0.0111171,0.668733,0.669363
0.0111559,0.683924,0.668238
0.0111946,0.679646,0.667106
0.0112333,0.667762,0.665969
