spatialFrequency, correlation, smoothCorrelation
0,1,1.00074
2.30033e-05,0.999992,1.00075
4.60066e-05,0.999987,1.00076
6.90099e-05,0.999981,1.00078
9.20133e-05,0.999974,1.00079
0.000115017,0.999974,1.00081
0.00013802,0.999978,1.00082
0.000161023,0.999975,1.00083
0.000184027,0.999967,1.00084
0.00020703,0.999962,1.00085
0.000230033,0.999951,1.00085
0.000253036,0.999941,1.00085
0.00027604,0.999918,1.00085
0.000299043,0.999893,1.00085
0.000322046,0.999879,1.00085
0.00034505,0.999844,1.00084
0.000368053,0.999772,1.00082
0.000391056,0.999688,1.00081
0.00041406,0.999653,1.00079
0.000437063,0.999593,1.00076
0.000460066,0.999471,1.00073
0.00048307,0.999333,1.00069
0.000506073,0.999315,1.00065
0.000529076,0.999175,1.0006
0.00055208,0.999179,1.00054
0.000575083,0.999112,1.00048
0.000598086,0.999041,1.00041
0.000621089,0.999053,1.00033
0.000644093,0.999147,1.00025
0.000667096,0.999064,1.00015
0.000690099,0.999125,1.00005
0.000713103,0.999081,0.999938
0.000736106,0.998999,0.999815
0.000759109,0.998755,0.999687
0.000782113,0.998197,0.999545
0.000805116,0.998088,0.999395
0.000828119,0.998077,0.999236
0.000851123,0.997886,0.999064
0.000874126,0.997898,0.998883
0.000897129,0.997892,0.998691
0.000920133,0.997785,0.998489
0.000943136,0.997541,0.998275
0.000966139,0.996996,0.998051
0.000989142,0.996754,0.997816
0.00101215,0.997064,0.997569
0.00103515,0.997337,0.997311
0.00105815,0.99725,0.997042
0.00108116,0.997376,0.996762
0.00110416,0.996983,0.996471
0.00112716,0.996906,0.996167
0.00115017,0.996892,0.995854
0.00117317,0.99682,0.995528
0.00119617,0.997126,0.995191
0.00121918,0.996734,0.994843
0.00124218,0.996708,0.994485
0.00126518,0.99645,0.994115
0.00128819,0.996539,0.993735
0.00131119,0.995894,0.993343
0.00133419,0.995607,0.992941
0.0013572,0.995779,0.99253
0.0013802,0.995647,0.992107
0.0014032,0.995431,0.991675
0.00142621,0.995634,0.991231
0.00144921,0.995697,0.990777
0.00147221,0.996459,0.990314
0.00149522,0.997356,0.989842
0.00151822,0.997767,0.989359
0.00154122,0.997887,0.988867
0.00156423,0.997991,0.988366
0.00158723,0.998395,0.987854
0.00161023,0.998594,0.987334
0.00163324,0.998747,0.986804
0.00165624,0.998769,0.986266
0.00167924,0.998914,0.985719
0.00170225,0.99895,0.985162
0.00172525,0.999042,0.984597
0.00174825,0.99898,0.984022
0.00177126,0.998952,0.98344
0.00179426,0.999045,0.982849
0.00181726,0.999059,0.982249
0.00184027,0.998953,0.981643
0.00186327,0.999043,0.981027
0.00188627,0.998999,0.980402
0.00190927,0.998964,0.97977
0.00193228,0.99877,0.979129
0.00195528,0.998722,0.978481
0.00197828,0.998735,0.977824
0.00200129,0.998541,0.977159
0.00202429,0.998645,0.976487
0.00204729,0.998278,0.975805
0.0020703,0.998153,0.975117
0.0020933,0.99779,0.97442
0.0021163,0.997497,0.973716
0.00213931,0.997352,0.973002
0.00216231,0.996842,0.97228
0.00218531,0.996495,0.971552
0.00220832,0.995817,0.970815
0.00223132,0.994985,0.970069
0.00225432,0.99411,0.969315
0.00227733,0.992019,0.968554
0.00230033,0.991347,0.967783
0.00232333,0.989435,0.967005
0.00234634,0.988288,0.966219
0.00236934,0.987687,0.965424
0.00239234,0.986121,0.964621
0.00241535,0.985666,0.96381
0.00243835,0.984244,0.962991
0.00246135,0.983071,0.962162
0.00248436,0.981382,0.961325
0.00250736,0.980772,0.96048
0.00253036,0.981146,0.959628
0.00255337,0.980993,0.958764
0.00257637,0.982063,0.957894
0.00259937,0.981817,0.957014
0.00262238,0.980227,0.956125
0.00264538,0.979241,0.955228
0.00266838,0.976387,0.954321
0.00269139,0.975017,0.953406
0.00271439,0.973835,0.952481
0.00273739,0.971092,0.951547
0.0027604,0.966923,0.950604
0.0027834,0.968769,0.949652
0.0028064,0.969966,0.948691
0.00282941,0.967813,0.947719
0.00285241,0.970751,0.946739
0.00287541,0.96694,0.945749
0.00289842,0.965544,0.94475
0.00292142,0.963437,0.943742
0.00294442,0.964409,0.942724
0.00296743,0.964777,0.941696
0.00299043,0.964187,0.94066
0.00301343,0.960314,0.939613
0.00303644,0.957165,0.938558
0.00305944,0.955882,0.937493
0.00308244,0.952003,0.936419
0.00310545,0.948053,0.935336
0.00312845,0.945315,0.934244
0.00315145,0.938778,0.933143
0.00317446,0.934838,0.932033
0.00319746,0.933265,0.930915
0.00322046,0.934378,0.929787
0.00324347,0.937195,0.928651
0.00326647,0.935024,0.927507
0.00328947,0.927744,0.926355
0.00331248,0.926629,0.925195
0.00333548,0.92348,0.924028
0.00335848,0.929893,0.922852
0.00338149,0.926183,0.921669
0.00340449,0.920202,0.920478
0.00342749,0.915893,0.91928
0.0034505,0.913417,0.918074
0.0034735,0.914449,0.916861
0.0034965,0.914978,0.915641
0.00351951,0.916272,0.914415
0.00354251,0.918787,0.91318
0.00356551,0.921928,0.911939
0.00358852,0.923146,0.910692
0.00361152,0.921159,0.909438
0.00363452,0.919151,0.908177
0.00365753,0.913881,0.90691
0.00368053,0.913851,0.905637
0.00370353,0.909271,0.904358
0.00372654,0.907607,0.903073
0.00374954,0.915684,0.901781
0.00377254,0.910149,0.900484
0.00379555,0.897676,0.899182
0.00381855,0.900635,0.897874
0.00384155,0.901732,0.89656
0.00386456,0.910766,0.895242
0.00388756,0.903518,0.893919
0.00391056,0.900809,0.89259
0.00393357,0.901359,0.891256
0.00395657,0.898279,0.889919
0.00397957,0.896624,0.888575
0.00400258,0.904841,0.887229
0.00402558,0.899481,0.885877
0.00404858,0.899034,0.884521
0.00407159,0.896197,0.883161
0.00409459,0.899489,0.881797
0.00411759,0.895048,0.880429
0.0041406,0.893278,0.879056
0.0041636,0.892027,0.877681
0.0041866,0.886335,0.876301
0.00420961,0.887148,0.874917
0.00423261,0.893759,0.873529
0.00425561,0.887368,0.872138
0.00427862,0.887178,0.870743
0.00430162,0.886214,0.869345
0.00432462,0.877477,0.867943
0.00434763,0.876589,0.866537
0.00437063,0.871936,0.865126
0.00439363,0.871017,0.863713
0.00441664,0.873591,0.862296
0.00443964,0.856736,0.860875
0.00446264,0.851459,0.859449
0.00448565,0.846613,0.85802
0.00450865,0.850119,0.856587
0.00453165,0.857167,0.85515
0.00455466,0.861664,0.853709
0.00457766,0.867835,0.852263
0.00460066,0.860478,0.850814
0.00462367,0.855005,0.849359
0.00464667,0.845249,0.847901
0.00466967,0.842022,0.846439
0.00469268,0.853005,0.844971
0.00471568,0.853257,0.8435
0.00473868,0.85035,0.842025
0.00476169,0.846242,0.840544
0.00478469,0.83197,0.83906
0.00480769,0.824686,0.837571
0.0048307,0.817657,0.836078
0.0048537,0.823365,0.83458
0.0048767,0.826689,0.833077
0.00489971,0.827576,0.83157
0.00492271,0.822938,0.830058
0.00494571,0.821232,0.828542
0.00496872,0.831283,0.827021
0.00499172,0.829945,0.825496
0.00501472,0.809809,0.823966
0.00503773,0.796222,0.822431
0.00506073,0.78159,0.820892
0.00508373,0.775556,0.819348
0.00510674,0.769745,0.817799
0.00512974,0.77857,0.816246
0.00515274,0.800664,0.814687
0.00517575,0.812711,0.813123
0.00519875,0.805729,0.811554
0.00522175,0.797659,0.809981
0.00524476,0.806015,0.808402
0.00526776,0.804294,0.806818
0.00529076,0.801161,0.805229
0.00531377,0.802343,0.803634
0.00533677,0.789001,0.802034
0.00535977,0.780697,0.800429
0.00538278,0.770406,0.798818
0.00540578,0.777383,0.797203
0.00542878,0.781185,0.795582
0.00545178,0.791287,0.793955
0.00547479,0.79295,0.792324
0.00549779,0.772582,0.790688
0.0055208,0.768003,0.789046
0.0055438,0.763689,0.787399
0.0055668,0.774997,0.785747
0.00558981,0.770878,0.78409
0.00561281,0.754937,0.782429
0.00563581,0.754811,0.780762
0.00565881,0.761947,0.77909
0.00568182,0.759998,0.777414
0.00570482,0.764414,0.775733
0.00572782,0.788208,0.774047
0.00575083,0.809458,0.772356
0.00577383,0.810399,0.77066
0.00579683,0.801533,0.76896
0.00581984,0.800301,0.767255
0.00584284,0.798732,0.765545
0.00586584,0.78573,0.76383
0.00588885,0.770016,0.762111
0.00591185,0.790906,0.760387
0.00593485,0.792687,0.758657
0.00595786,0.795332,0.756923
0.00598086,0.795373,0.755184
0.00600386,0.793576,0.75344
0.00602687,0.778068,0.751691
0.00604987,0.760871,0.749937
0.00607287,0.764217,0.748178
0.00609588,0.775687,0.746414
0.00611888,0.762647,0.744645
0.00614188,0.741139,0.742872
0.00616489,0.724196,0.741094
0.00618789,0.736732,0.739311
0.00621089,0.758798,0.737524
0.0062339,0.760168,0.735731
0.0062569,0.783878,0.733934
0.0062799,0.800836,0.732133
0.00630291,0.760949,0.730327
0.00632591,0.733831,0.728516
0.00634891,0.724598,0.7267
0.00637192,0.718101,0.724881
0.00639492,0.723572,0.723056
0.00641792,0.723394,0.721228
0.00644093,0.724542,0.719395
0.00646393,0.734811,0.717559
0.00648693,0.737674,0.715717
0.00650994,0.735299,0.713872
0.00653294,0.741549,0.712023
0.00655594,0.737042,0.710171
0.00657895,0.72193,0.708314
0.00660195,0.717739,0.706454
0.00662495,0.711647,0.70459
0.00664796,0.704335,0.702722
0.00667096,0.713839,0.70085
0.00669396,0.731033,0.698976
0.00671697,0.744431,0.697098
0.00673997,0.744415,0.695216
0.00676297,0.738005,0.693331
0.00678598,0.738666,0.691442
0.00680898,0.717139,0.68955
0.00683198,0.707999,0.687656
0.00685499,0.696904,0.685756
