spatialFrequency, correlation, smoothCorrelation
0,1,1.00051
3.05998e-05,0.999999,1.00053
6.11995e-05,0.999995,1.00055
9.17993e-05,0.999994,1.00058
0.000122399,0.999993,1.00061
0.000152999,0.999987,1.00063
0.000183599,0.999984,1.00066
0.000214198,0.999963,1.00068
0.000244798,0.999928,1.0007
0.000275398,0.999902,1.00071
0.000305998,0.999849,1.00072
0.000336597,0.999772,1.00072
0.000367197,0.999624,1.00071
0.000397797,0.999258,1.00069
0.000428397,0.998842,1.00065
0.000458996,0.998327,1.00061
0.000489596,0.997762,1.00055
0.000520196,0.998073,1.00048
0.000550796,0.998212,1.00039
0.000581395,0.998685,1.00029
0.000611995,0.999178,1.00017
0.000642595,0.999167,1.00003
0.000673195,0.999244,0.999872
0.000703794,0.999036,0.999695
0.000734394,0.998825,0.999497
0.000764994,0.998729,0.99928
0.000795594,0.998458,0.999041
0.000826193,0.99815,0.998784
0.000856793,0.997318,0.998502
0.000887393,0.996456,0.9982
0.000917993,0.996163,0.997876
0.000948592,0.995435,0.997531
0.000979192,0.994371,0.997164
0.00100979,0.994129,0.996777
0.00104039,0.994955,0.996368
0.00107099,0.996204,0.995936
0.00110159,0.996325,0.995485
0.00113219,0.99663,0.995013
0.00116279,0.996194,0.994519
0.00119339,0.995781,0.994007
0.00122399,0.995129,0.993474
0.00125459,0.994299,0.992921
0.00128519,0.99434,0.992349
0.00131579,0.993217,0.991758
0.00134639,0.993074,0.991148
0.00137699,0.99208,0.99052
0.00140759,0.992218,0.989874
0.00143819,0.994504,0.98921
0.00146879,0.995933,0.988529
0.00149939,0.997188,0.987831
0.00152999,0.997841,0.987117
0.00156059,0.998458,0.986388
0.00159119,0.998863,0.985643
0.00162179,0.998972,0.984882
0.00165239,0.999065,0.984108
0.00168299,0.998999,0.983319
0.00171359,0.999226,0.982516
0.00174419,0.999295,0.981701
0.00177479,0.999326,0.980872
0.00180539,0.99933,0.98003
0.00183599,0.99924,0.979175
0.00186659,0.999222,0.978309
0.00189718,0.999322,0.977429
0.00192778,0.999275,0.976539
0.00195838,0.999209,0.975635
0.00198898,0.999049,0.974721
0.00201958,0.998875,0.973795
0.00205018,0.998536,0.972856
0.00208078,0.99818,0.971906
0.00211138,0.998053,0.970945
0.00214198,0.997755,0.969971
0.00217258,0.997288,0.968986
0.00220318,0.99623,0.967989
0.00223378,0.994488,0.96698
0.00226438,0.992143,0.965959
0.00229498,0.989205,0.964927
0.00232558,0.983857,0.963882
0.00235618,0.977924,0.962825
0.00238678,0.975782,0.961757
0.00241738,0.978209,0.960675
0.00244798,0.979874,0.959583
0.00247858,0.980983,0.958477
0.00250918,0.981351,0.957361
0.00253978,0.98117,0.956232
0.00257038,0.981183,0.955091
0.00260098,0.980377,0.953937
0.00263158,0.979518,0.952771
0.00266218,0.977974,0.951593
0.00269278,0.978281,0.950402
0.00272338,0.973865,0.949199
0.00275398,0.971446,0.947983
0.00278458,0.970262,0.946754
0.00281518,0.964048,0.945511
0.00284578,0.958998,0.944255
0.00287638,0.950541,0.942985
0.00290698,0.944935,0.941701
0.00293758,0.942876,0.940403
0.00296818,0.941537,0.939091
0.00299878,0.934469,0.937763
0.00302938,0.933968,0.936421
0.00305998,0.939075,0.935063
0.00309058,0.936959,0.93369
0.00312118,0.934082,0.932302
0.00315177,0.933001,0.930899
0.00318237,0.926234,0.92948
0.00321297,0.927809,0.928047
0.00324357,0.923268,0.926599
0.00327417,0.922167,0.925136
0.00330477,0.927723,0.923658
0.00333537,0.92882,0.922167
0.00336597,0.926075,0.920661
0.00339657,0.913804,0.919141
0.00342717,0.909223,0.917608
0.00345777,0.909152,0.916062
0.00348837,0.911825,0.914501
0.00351897,0.919392,0.912928
0.00354957,0.921523,0.911343
0.00358017,0.918851,0.909745
0.00361077,0.917767,0.908134
0.00364137,0.913178,0.906512
0.00367197,0.902014,0.904878
0.00370257,0.903543,0.903232
0.00373317,0.911796,0.901575
